Mão-de-obra agrícola não familiar permanente segundo o tempo de actividade (Oeste),,,,,,,,,,,,,,,
25 - < 50%,   263 ,   75 ,   10 ,   18 ,   3 ,   6 ,   6 ,   2 ,   3 ,   4 ,   2 ,   1 ,   3 ,   2 ,   15 
50 - < 75%,   200 ,   62 ,   3 ,   12 ,   3 ,   5 ,   7 ,   3 ,   12 ,   3 ,- ,   1 ,   1 ,   2 ,   10 
75 - < 100%,   391 ,   95 ,   7 ,   13 ,   5 ,   9 ,   4 ,   5 ,   9 ,   8 ,- ,   1 ,   3 ,   2 ,   29 
Tempo completo,   529 ,   224 ,   27 ,   16 ,   3 ,   9 ,   9 ,   14 ,   29 ,   27 ,   4 ,   12 ,   16 ,   9 ,   49 
Homem,  1 556 ,   518 ,   51 ,   74 ,   16 ,   30 ,   48 ,   29 ,   53 ,   48 ,   4 ,   14 ,   24 ,   16 ,   111 
Tempo parcial,  1 063 ,   301 ,   24 ,   60 ,   13 ,   21 ,   39 ,   15 ,   25 ,   21 ,   1 ,   3 ,   8 ,   7 ,   64 
> 0 - < 25%,   298 ,   89 ,   6 ,   18 ,   2 ,   2 ,   23 ,   5 ,   6 ,   7 ,   1 ,   1 ,   2 ,   2 ,   14 
25 - < 50%,   230 ,   70 ,   8 ,   18 ,   3 ,   6 ,   6 ,   2 ,   3 ,   4 ,- ,   1 ,   3 ,   2 ,   14 
50 - < 75%,   177 ,   54 ,   3 ,   11 ,   3 ,   5 ,   7 ,   3 ,   10 ,   2 ,- ,- ,   1 ,   1 ,   8 
75 - < 100%,   358 ,   88 ,   7 ,   13 ,   5 ,   8 ,   3 ,   5 ,   6 ,   8 ,- ,   1 ,   2 ,   2 ,   28 
Tempo completo,   493 ,   217 ,   27 ,   14 ,   3 ,   9 ,   9 ,   14 ,   28 ,   27 ,   3 ,   11 ,   16 ,   9 ,   47 
Mulher,   196 ,   42 ,   2 ,   10 ,- ,   3 ,   1 ,- ,   7 ,   2 ,   3 ,   2 ,   1 ,   1 ,   10 
Tempo parcial,   160 ,   35 ,   2 ,   8 ,- ,   3 ,   1 ,- ,   6 ,   2 ,   2 ,   1 ,   1 ,   1 ,   8 
> 0 - < 25%,   71 ,   15 ,- ,   7 ,- ,   2 ,- ,- ,   1 ,   1 ,- ,- ,- ,- ,   4 
25 - < 50%,   33 ,   5 ,   2 ,- ,- ,- ,- ,- ,- ,- ,   2 ,- ,- ,- ,   1 
50 - < 75%,   23 ,   8 ,- ,   1 ,- ,- ,- ,- ,   2 ,   1 ,- ,   1 ,- ,   1 ,   2 
75 - < 100%,   33 ,   7 ,- ,- ,- ,   1 ,   1 ,- ,   3 ,- ,- ,- ,   1 ,- ,   1 
Tempo completo,   36 ,   7 ,- ,   2 ,- ,- ,- ,- ,   1 ,- ,   1 ,   1 ,- ,- ,   2 
Tempo de actividade agrícola dos outros trabalhadores permanentes,  11 669 ,  3 619 ,   348 ,   263 ,   60 ,   292 ,   232 ,   299 ,   520 ,   225 ,   45 ,   133 ,   146 ,   70 ,   986 
Tempo parcial,  3 206 ,  1 492 ,   147 ,   59 ,   34 ,   157 ,   111 ,   177 ,   187 ,   57 ,   10 ,   54 ,   49 ,   19 ,   431 
> 0 - < 25%,   703 ,   373 ,   32 ,   8 ,   5 ,   52 ,   45 ,   45 ,   69 ,   12 ,   3 ,   7 ,   12 ,   10 ,   73 
25 - < 50%,   726 ,   316 ,   35 ,   11 ,   6 ,   51 ,   12 ,   26 ,   47 ,   11 ,   5 ,   6 ,   9 ,   4 ,   93 
50 - < 75%,   827 ,   346 ,   36 ,   23 ,   2 ,   23 ,   36 ,   44 ,   32 ,   5 ,- ,   15 ,   16 ,   2 ,   112 
75 - < 100%,   950 ,   457 ,   44 ,   17 ,   21 ,   31 ,   18 ,   62 ,   39 ,   29 ,   2 ,   26 ,   12 ,   3 ,   153 
Tempo completo,  8 463 ,  2 127 ,   201 ,   204 ,   26 ,   135 ,   121 ,   122 ,   333 ,   168 ,   35 ,   79 ,   97 ,   51 ,   555 
Homem,  7 043 ,  2 135 ,   203 ,   182 ,   46 ,   189 ,   164 ,   171 ,   284 ,   165 ,   22 ,   73 ,   98 ,   48 ,   490 
Tempo parcial,  1 769 ,   781 ,   80 ,   32 ,   25 ,   109 ,   70 ,   102 ,   106 ,   31 ,   2 ,   26 ,   35 ,   9 ,   154 
> 0 - < 25%,   418 ,   232 ,   21 ,   2 ,   5 ,   32 ,   38 ,   35 ,   34 ,   7 ,   2 ,   6 ,   12 ,   5 ,   33 
25 - < 50%,   404 ,   175 ,   20 ,   3 ,   6 ,   41 ,   10 ,   11 ,   33 ,   7 ,- ,   4 ,   4 ,   2 ,   34 
50 - < 75%,   420 ,   151 ,   18 ,   12 ,   2 ,   17 ,   8 ,   25 ,   18 ,   2 ,- ,   5 ,   14 ,   2 ,   28 
75 - < 100%,   527 ,   223 ,   21 ,   15 ,   12 ,   19 ,   14 ,   31 ,   21 ,   15 ,- ,   11 ,   5 ,- ,   59 
Tempo completo,  5 274 ,  1 354 ,   123 ,   150 ,   21 ,   80 ,   94 ,   69 ,   178 ,   134 ,   20 ,   47 ,   63 ,   39 ,   336 
Mulher,  4 626 ,  1 484 ,   145 ,   81 ,   14 ,   103 ,   68 ,   128 ,   236 ,   60 ,   23 ,   60 ,   48 ,   22 ,   496 
Tempo parcial,  1 437 ,   711 ,   67 ,   27 ,   9 ,   48 ,   41 ,   75 ,   81 ,   26 ,   8 ,   28 ,   14 ,   10 ,   277 
> 0 - < 25%,   285 ,   141 ,   11 ,   6 ,- ,   20 ,   7 ,   10 ,   35 ,   5 ,   1 ,   1 ,- ,   5 ,   40 
25 - < 50%,   322 ,   141 ,   15 ,   8 ,- ,   10 ,   2 ,   15 ,   14 ,   4 ,   5 ,   2 ,   5 ,   2 ,   59 
50 - < 75%,   407 ,   195 ,   18 ,   11 ,- ,   6 ,   28 ,   19 ,   14 ,   3 ,- ,   10 ,   2 ,- ,   84 
75 - < 100%,   423 ,   234 ,   23 ,   2 ,   9 ,   12 ,   4 ,   31 ,   18 ,   14 ,   2 ,   15 ,   7 ,   3 ,   94 
Tempo completo,  3 189 ,   773 ,   78 ,   54 ,   5 ,   55 ,   27 ,   53 ,   155 ,   34 ,   15 ,   32 ,   34 ,   12 ,   219 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
