Mão-de-obra agrícola não familiar permanente segundo o tempo de actividade (Grande Lisboa),,,,,,,,,
Tempo parcial,  1 063 ,   94 ,- ,   7 ,   19 ,   3 ,   3 ,   30 ,   32 
> 0 - < 25%,   298 ,   20 ,- ,   1 ,   7 ,- ,- ,   5 ,   7 
25 - < 50%,   230 ,   18 ,- ,   2 ,   5 ,   1 ,   1 ,   4 ,   5 
50 - < 75%,   177 ,   14 ,- ,   2 ,   2 ,- ,   1 ,   6 ,   3 
75 - < 100%,   358 ,   42 ,- ,   2 ,   5 ,   2 ,   1 ,   15 ,   17 
Tempo completo,   493 ,   24 ,   2 ,   2 ,   4 ,- ,   1 ,   12 ,   3 
Mulher,   196 ,   20 ,- ,   2 ,   4 ,   2 ,- ,   6 ,   6 
Tempo parcial,   160 ,   17 ,- ,   2 ,   2 ,   2 ,- ,   6 ,   5 
> 0 - < 25%,   71 ,   5 ,- ,- ,   1 ,   2 ,- ,   1 ,   1 
25 - < 50%,   33 ,   5 ,- ,   1 ,   1 ,- ,- ,   2 ,   1 
50 - < 75%,   23 ,   2 ,- ,   1 ,- ,- ,- ,   1 ,- 
75 - < 100%,   33 ,   5 ,- ,- ,- ,- ,- ,   2 ,   3 
Tempo completo,   36 ,   3 ,- ,- ,   2 ,- ,- ,- ,   1 
Tempo de actividade agrícola dos outros trabalhadores permanentes,  11 669 ,   758 ,   4 ,   43 ,   140 ,   17 ,   19 ,   394 ,   141 
Tempo parcial,  3 206 ,   164 ,- ,   30 ,   24 ,   2 ,   3 ,   86 ,   19 
> 0 - < 25%,   703 ,   32 ,- ,   2 ,   4 ,- ,- ,   15 ,   11 
25 - < 50%,   726 ,   46 ,- ,   1 ,   11 ,   1 ,- ,   32 ,   1 
50 - < 75%,   827 ,   48 ,- ,   21 ,   3 ,- ,- ,   22 ,   2 
75 - < 100%,   950 ,   38 ,- ,   6 ,   6 ,   1 ,   3 ,   17 ,   5 
Tempo completo,  8 463 ,   594 ,   4 ,   13 ,   116 ,   15 ,   16 ,   308 ,   122 
Homem,  7 043 ,   481 ,   4 ,   21 ,   97 ,   15 ,   16 ,   238 ,   90 
Tempo parcial,  1 769 ,   96 ,- ,   8 ,   18 ,   2 ,   2 ,   51 ,   15 
> 0 - < 25%,   418 ,   27 ,- ,   1 ,   4 ,- ,- ,   12 ,   10 
25 - < 50%,   404 ,   21 ,- ,- ,   7 ,   1 ,- ,   13 ,- 
50 - < 75%,   420 ,   17 ,- ,   2 ,   3 ,- ,- ,   10 ,   2 
75 - < 100%,   527 ,   31 ,- ,   5 ,   4 ,   1 ,   2 ,   16 ,   3 
Tempo completo,  5 274 ,   385 ,   4 ,   13 ,   79 ,   13 ,   14 ,   187 ,   75 
Mulher,  4 626 ,   277 ,- ,   22 ,   43 ,   2 ,   3 ,   156 ,   51 
Tempo parcial,  1 437 ,   68 ,- ,   22 ,   6 ,- ,   1 ,   35 ,   4 
> 0 - < 25%,   285 ,5,- ,1,- ,- ,- ,3,1
25 - < 50%,   322 ,25,- ,1,4,- ,- ,19,1
50 - < 75%,   407 ,31,- ,19,- ,- ,- ,12,- 
75 - < 100%,   423 ,7,- ,1,2,- ,1,1,2
Tempo completo,  3 189 ,209,- ,- ,37,2,2,121,47
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo.",,,,,,,,,
