Mão-de-obra agrícola não familiar permanente segundo o tempo de actividade (Península de Setúbal),,,,,,,,,,,
Tempo parcial,  1 597 ,   194 ,   7 ,   5 ,- ,- ,   49 ,   87 ,- ,   2 ,   44 
> 0 - < 25%,   356 ,   50 ,- ,   1 ,- ,- ,   21 ,   19 ,- ,   1 ,   8 
25 - < 50%,   355 ,   69 ,- ,   2 ,- ,- ,   10 ,   40 ,- ,   1 ,   16 
50 - < 75%,   430 ,   25 ,- ,   1 ,- ,- ,   9 ,   11 ,- ,- ,   4 
75 - < 100%,   456 ,   50 ,   7 ,   1 ,- ,- ,   9 ,   17 ,- ,- ,   16 
Tempo completo,  3 225 ,   863 ,   198 ,   3 ,- ,   33 ,   274 ,   292 ,   10 ,   12 ,   41 
Tempo de actividade agrícola dos dirigentes assalariados,  1 752 ,   264 ,   19 ,   4 ,   2 ,   7 ,   98 ,   90 ,   6 ,   11 ,   27 
Tempo parcial,  1 223 ,   202 ,   9 ,   4 ,- ,   7 ,   86 ,   65 ,   4 ,   9 ,   18 
> 0 - < 25%,   369 ,   85 ,   4 ,   1 ,- ,   1 ,   38 ,   29 ,   2 ,   1 ,   9 
25 - < 50%,   263 ,   37 ,   4 ,- ,- ,- ,   15 ,   13 ,   1 ,   2 ,   2 
50 - < 75%,   200 ,   29 ,   1 ,- ,- ,   1 ,   14 ,   8 ,- ,   1 ,   4 
75 - < 100%,   391 ,   51 ,- ,   3 ,- ,   5 ,   19 ,   15 ,   1 ,   5 ,   3 
Tempo completo,   529 ,   62 ,   10 ,- ,   2 ,- ,   12 ,   25 ,   2 ,   2 ,   9 
Homem,  1 556 ,   214 ,   17 ,   3 ,   2 ,   7 ,   72 ,   75 ,   5 ,   9 ,   24 
Tempo parcial,  1 063 ,   160 ,   9 ,   3 ,- ,   7 ,   61 ,   53 ,   4 ,   7 ,   16 
> 0 - < 25%,   298 ,   62 ,   4 ,   1 ,- ,   1 ,   24 ,   21 ,   2 ,- ,   9 
25 - < 50%,   230 ,   28 ,   4 ,- ,- ,- ,   10 ,   11 ,   1 ,   1 ,   1 
50 - < 75%,   177 ,   25 ,   1 ,- ,- ,   1 ,   11 ,   7 ,- ,   1 ,   4 
75 - < 100%,   358 ,   45 ,- ,   2 ,- ,   5 ,   16 ,   14 ,   1 ,   5 ,   2 
Tempo completo,   493 ,   54 ,   8 ,- ,   2 ,- ,   11 ,   22 ,   1 ,   2 ,   8 
Mulher,   196 ,   50 ,   2 ,   1 ,- ,- ,   26 ,   15 ,   1 ,   2 ,   3 
Tempo parcial,   160 ,   42 ,- ,   1 ,- ,- ,   25 ,   12 ,- ,   2 ,   2 
> 0 - < 25%,   71 ,   23 ,- ,- ,- ,- ,   14 ,   8 ,- ,   1 ,- 
25 - < 50%,   33 ,   9 ,- ,- ,- ,- ,   5 ,   2 ,- ,   1 ,   1 
50 - < 75%,   23 ,   4 ,- ,- ,- ,- ,   3 ,   1 ,- ,- ,- 
75 - < 100%,   33 ,   6 ,- ,   1 ,- ,- ,   3 ,   1 ,- ,- ,   1 
Tempo completo,   36 ,   8 ,   2 ,- ,- ,- ,   1 ,   3 ,   1 ,- ,   1 
Tempo de actividade agrícola dos outros trabalhadores permanentes,  11 669 ,  1 948 ,   255 ,   12 ,   2 ,   90 ,   488 ,   772 ,   22 ,   36 ,   271 
Tempo parcial,  3 206 ,   332 ,   7 ,   4 ,   1 ,   10 ,   38 ,   104 ,   7 ,   2 ,   159 
> 0 - < 25%,   703 ,   61 ,- ,   1 ,- ,- ,   15 ,   28 ,   5 ,- ,   12 
25 - < 50%,   726 ,   179 ,- ,   2 ,   1 ,   4 ,   9 ,   46 ,   1 ,   1 ,   115 
50 - < 75%,   827 ,   34 ,- ,   1 ,- ,   1 ,   7 ,   12 ,   1 ,   1 ,   11 
75 - < 100%,   950 ,   58 ,   7 ,- ,- ,   5 ,   7 ,   18 ,- ,- ,   21 
Tempo completo,  8 463 ,  1 616 ,   248 ,   8 ,   1 ,   80 ,   450 ,   668 ,   15 ,   34 ,   112 
Homem,  7 043 ,   941 ,   52 ,   5 ,   2 ,   57 ,   191 ,   408 ,   13 ,   24 ,   189 
Tempo parcial,  1 769 ,   180 ,- ,- ,   1 ,   10 ,   14 ,   29 ,   7 ,   2 ,   117 
> 0 - < 25%,   418 ,   34 ,- ,- ,- ,- ,   8 ,   17 ,   5 ,- ,   4 
25 - < 50%,   404 ,   119 ,- ,- ,   1 ,   4 ,   4 ,   8 ,   1 ,   1 ,   100 
50 - < 75%,   420 ,   13 ,- ,- ,- ,   1 ,   1 ,   2 ,   1 ,   1 ,   7 
75 - < 100%,   527 ,   14 ,- ,- ,- ,   5 ,   1 ,   2 ,- ,- ,   6 
Tempo completo,  5 274 ,   761 ,   52 ,   5 ,   1 ,   47 ,   177 ,   379 ,   6 ,   22 ,   72 
Mulher,  4 626 ,  1 007 ,   203 ,   7 ,- ,   33 ,   297 ,   364 ,   9 ,   12 ,   82 
Tempo parcial,  1 437 ,   152 ,   7 ,   4 ,- ,- ,   24 ,   75 ,- ,- ,   42 
> 0 - < 25%,   285 ,27,- ,1,- ,- ,7,11,- ,- ,8
25 - < 50%,   322 ,60,- ,2,- ,- ,5,38,- ,- ,15
50 - < 75%,   407 ,21,- ,1,- ,- ,6,10,- ,- ,4
75 - < 100%,   423 ,44,7,- ,- ,- ,6,16,- ,- ,15
Tempo completo,  3 189 ,855,196,3,- ,33,273,289,9,12,40
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo.",,,,,,,,,,,
