Table 1.
        Study sites including location<comma> prevalence of CBS and elevation difference between location and CFSR grid.
Country,Location<comma> Stateb,Prevalence,Lat,Lon,Elevation differencea (m)
United States,Arroya Grande<comma> CA,Unknown,35.069,−120.490,449.1
United States,Bakersfield<comma> CA,Unknown,35.373,−119.019,865.2
United States,Belle Chasse<comma> TX,Unknown,29.767,−90.035,−1.3
United States,Borrego Springs<comma> CA,Unknown,33.331,−116.364,163.5
United States,Calepatria - Imperial Valley<comma> CA,Unknown,33.191,−115.440,289.4
United States,Clermont<comma> FL,Unknown,28.617,−81.731,−65.0
United States,Coachella Valley<comma> CA,Unknown,33.564,−116.035,428.5
United States,DeSoto County<comma> FL,Unknown,27.262,−81.638,−11.1
United States,Encinitas<comma> CA,Unknown,33.033,−117.197,749.9
United States,Fountain Hills<comma> AZ,Unknown,33.675,−111.679,895.3
United States,Fresno<comma> CA,Unknown,36.672,−119.853,672.3
United States,Hemet<comma> CA,Unknown,33.729,−116.877,393.5
United States,Indian River –Marsh<comma> FL,Unknown,27.461,−80.616,−4.6
United States,Lake County<comma> FL,Unknown,28.617,−81.731,−65.0
United States,Lakeland<comma> FL,unknown,28.039,−81.950,−32.8
United States,Mesa<comma> AZ,Unknown,33.457,−111.740,643.5
United States,Mission<comma> TX,Unknown,26.258,−98.374,−25.5
United States,Montura Estates<comma> FL,Present,26.688,−81.120,−3.2
United States,Polk<comma> County<comma> FL,Present,27.651,−81.520,−23.0
United States,Porterville<comma> CA,Unknown,36.175,−119.069,2021.2
United States,Redlands<comma> CA,Unknown,34.056,−117.121,726.3
United States,Riverside<comma> CA,Unknown,33.910,−117.413,941.3
United States,Sebring<comma> FL,unknown,27.496,−81.437,−28.6
United States,South Florida – Immokalee<comma> FL,Present,26.420,−81.417,−5.6
United States,Southern Gardens<comma> FL,Present,26.444,−81.124,−3.2
United States,Sun City<comma> AZ,Unknown,33.570,−112.369,520.7
United States,Tulare<comma> CA,Unknown,36.208,−119.347,1181.0
United States,Valley Center<comma> CA,Unknown,33.287,−117.054,527.1
United States,Volusia County<comma> FL,Unknown,29.214,−81.443,−10.4
United States,Weslaco<comma> TX,Unknown,26.146,−98.017,−22.6
United States,Yuma<comma> AZ,Unknown,32.613,−114.598,118.0
