Efectivo animal (Ilha da Madeira - Funchal),,,,,,,,,,,,,
,,,,,,,,,,,,,Pág. 1/3
OVINOS,,,,   998 ,  7 095 ,   996 ,  7 033 ,   105 ,   941 ,   229 ,   854 ,   45 ,   742 
,Fêmeas reprodutoras,,,   922 ,  5 795 ,   920 ,  5 742 ,   97 ,   883 ,   220 ,   679 ,   38 ,   709 
,Outros ovinos,,,   446 ,  1 300 ,   445 ,  1 291 ,   33 ,   58 ,   122 ,   175 ,   14 ,   33 
CAPRINOS,,,,  2 836 ,  9 160 ,  2 824 ,  9 042 ,   189 ,  1 353 ,   476 ,  1 297 ,   98 ,   291 
,Fêmeas reprodutoras,,,  2 637 ,  7 242 ,  2 627 ,  7 173 ,   174 ,  1 214 ,   450 ,  1 052 ,   94 ,   254 
,Outros caprinos,,,   969 ,  1 918 ,   958 ,  1 869 ,   55 ,   139 ,   172 ,   245 ,   21 ,   37 
EQUÍDEOS,,,,   16 ,   42 ,   13 ,   36 ,   2 ,... ,- ,- ,- ,- 
,Gado equino,,,   12 ,   35 ,   10 ,   31 ,   1 ,... ,- ,- ,- ,- 
,,Fêmeas reprodutoras,,   4 ,   10 ,   3 ,   7 ,- ,- ,- ,- ,- ,- 
,,Outros equinos,,   11 ,   25 ,   10 ,   24 ,   1 ,... ,- ,- ,- ,- 
,Gado asinino,,,   2 ,... ,   2 ,... ,   1 ,... ,- ,- ,- ,- 
,Gado muar,,,   2 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
COELHAS reprodutoras,,,,   622 ,  2 272 ,   619 ,  2 258 ,   85 ,   245 ,   35 ,   135 ,   58 ,   152 
AVES,,,,,,,,,,,,,
,Frangos de carne (inclui galos),,,  4 818 ,  366 215 ,  4 812 ,  366 145 ,   803 ,  18 224 ,   410 ,  64 415 ,   185 ,  22 649 
,Galinhas poedeiras e reprodutoras,,,  5 596 ,  184 838 ,  5 590 ,  182 083 ,   935 ,  4 971 ,   180 ,  55 028 ,   225 ,  3 023 
,Perús,,,   109 ,   390 ,   109 ,   390 ,   10 ,   21 ,   4 ,   23 ,   11 ,   48 
,"Patos, Gansos e Pintadas",,,   369 ,  1 905 ,   369 ,  1 905 ,   33 ,   149 ,   19 ,   127 ,   28 ,   238 
ABELHAS,,,,,,,,,,,,,
,Número de colmeias povoadas,,,   328 ,  2 047 ,   328 ,  2 047 ,   27 ,   347 ,   34 ,   174 ,   16 ,   137 
,Número de cortiços povoados,,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma da Madeira",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
