Origem do rendimento do agregado doméstico do produtor singular,,,,,,,,,,,,,,,
,,,MADEIRA,Ilha da Madeira,Calheta,Câmara de Lobos,Funchal,Machico,Ponta do Sol,Porto Moniz,Ribeira Brava,Santa Cruz,Santana,São Vivente,Ilha de Porto Santo (P.Santo)
,Juros e dividendos,,   179 ,   179 ,   28 ,   8 ,   7 ,   1 ,   7 ,   80 ,   3 ,   31 ,   10 ,   4 ,- 
,,1ª opção,   93 ,   93 ,   16 ,   3 ,   4 ,- ,   6 ,   47 ,   2 ,   3 ,   9 ,   3 ,- 
,,2ª opção,   76 ,   76 ,   10 ,   3 ,   3 ,   1 ,   1 ,   32 ,   1 ,   23 ,   1 ,   1 ,- 
,,3ª opção,   10 ,   10 ,   2 ,   2 ,- ,- ,- ,   1 ,- ,   5 ,- ,- ,- 
,Remessas de emigrantes,,   67 ,   67 ,   11 ,   6 ,   2 ,   3 ,   13 ,   23 ,   2 ,   2 ,   4 ,   1 ,- 
,,1ª opção,   38 ,   38 ,   10 ,   4 ,   2 ,   3 ,   7 ,   6 ,   1 ,- ,   4 ,   1 ,- 
,,2ª opção,   29 ,   29 ,   1 ,   2 ,- ,- ,   6 ,   17 ,   1 ,   2 ,- ,- ,- 
,,3ª opção,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outras,,   452 ,   452 ,   101 ,   46 ,   5 ,   68 ,   51 ,   11 ,- ,   143 ,   14 ,   13 ,- 
,,1ª opção,   241 ,   241 ,   73 ,   27 ,   3 ,   26 ,   25 ,   10 ,- ,   54 ,   12 ,   11 ,- 
,,2ª opção,   182 ,   182 ,   28 ,   19 ,   2 ,   38 ,   26 ,   1 ,- ,   64 ,   2 ,   2 ,- 
,,3ª opção,   29 ,   29 ,- ,- ,- ,   4 ,- ,- ,- ,   25 ,- ,- ,- 
Principalmente origem exterior à actividade da exploração,,,  9 695 ,  9 576 ,   908 ,   821 ,  1 106 ,   979 ,   635 ,   269 ,  1 446 ,   698 ,  1 525 ,  1 189 ,   119 
,Salários do sector primário,,  1 128 ,  1 122 ,   63 ,   99 ,   60 ,   277 ,   89 ,   2 ,   116 ,   118 ,   201 ,   97 ,   6 
,,1ª opção,   673 ,   668 ,   45 ,   45 ,   39 ,   157 ,   72 ,   2 ,   64 ,   38 ,   146 ,   60 ,   5 
,,2ª opção,   367 ,   366 ,   13 ,   37 ,   18 ,   98 ,   15 ,- ,   39 ,   63 ,   48 ,   35 ,   1 
,,3ª opção,   88 ,   88 ,   5 ,   17 ,   3 ,   22 ,   2 ,- ,   13 ,   17 ,   7 ,   2 ,- 
,Salários do sector secúndário,,  2 884 ,  2 863 ,   225 ,   362 ,   219 ,   327 ,   150 ,   50 ,   813 ,   173 ,   287 ,   257 ,   21 
,,1ª opção,  1 846 ,  1 832 ,   173 ,   238 ,   139 ,   230 ,   97 ,   42 ,   387 ,   104 ,   230 ,   192 ,   14 
,,2ª opção,   892 ,   886 ,   51 ,   100 ,   63 ,   89 ,   46 ,   7 ,   359 ,   61 ,   53 ,   57 ,   6 
,,3ª opção,   146 ,   145 ,   1 ,   24 ,   17 ,   8 ,   7 ,   1 ,   67 ,   8 ,   4 ,   8 ,   1 
,Salários do sector terciário,,  3 741 ,  3 669 ,   310 ,   385 ,   554 ,   350 ,   191 ,   107 ,   521 ,   390 ,   533 ,   328 ,   72 
,,1ª opção,  2 544 ,  2 488 ,   213 ,   198 ,   351 ,   266 ,   106 ,   74 ,   349 ,   267 ,   427 ,   237 ,   56 
,,2ª opção,  1 063 ,  1 048 ,   92 ,   160 ,   181 ,   74 ,   75 ,   29 ,   148 ,   107 ,   99 ,   83 ,   15 
,,3ª opção,   134 ,   133 ,   5 ,   27 ,   22 ,   10 ,   10 ,   4 ,   24 ,   16 ,   7 ,   8 ,   1 
,Actividade empresarial,,   142 ,   141 ,   3 ,   47 ,   16 ,   56 ,   6 ,   3 ,   1 ,   4 ,   3 ,   2 ,   1 
,,1ª opção,   68 ,   67 ,   2 ,   20 ,   15 ,   15 ,   5 ,   2 ,   1 ,   4 ,   2 ,   1 ,   1 
,,2ª opção,   60 ,   60 ,- ,   26 ,   1 ,   29 ,   1 ,   1 ,- ,- ,   1 ,   1 ,- 
,,3ª opção,   14 ,   14 ,   1 ,   1 ,- ,   12 ,- ,- ,- ,- ,- ,- ,- 
,Pensões rurais/reformas,,  5 623 ,  5 571 ,   523 ,   411 ,   699 ,   567 ,   374 ,   141 ,   907 ,   417 ,   798 ,   734 ,   52 
,,1ª opção,  4 162 ,  4 120 ,   423 ,   293 ,   519 ,   300 ,   320 ,   102 ,   630 ,   274 ,   622 ,   637 ,   42 
,,2ª opção,  1 234 ,  1 225 ,   84 ,   92 ,   162 ,   214 ,   50 ,   36 ,   217 ,   116 ,   163 ,   91 ,   9 
,,3ª opção,   227 ,   226 ,   16 ,   26 ,   18 ,   53 ,   4 ,   3 ,   60 ,   27 ,   13 ,   6 ,   1 
,Juros e dividendos,,   643 ,   643 ,   43 ,   10 ,   37 ,   330 ,   10 ,   80 ,   24 ,   68 ,   19 ,   22 ,- 
,,1ª opção,   122 ,   122 ,   19 ,   2 ,   15 ,   2 ,   8 ,   37 ,   7 ,- ,   11 ,   21 ,- 
,,2ª opção,   289 ,   289 ,   24 ,   6 ,   19 ,   130 ,   2 ,   43 ,   16 ,   40 ,   8 ,   1 ,- 
,,3ª opção,   232 ,   232 ,- ,   2 ,   3 ,   198 ,- ,- ,   1 ,   28 ,- ,- ,- 
,Remessas de emigrantes,,   134 ,   134 ,   13 ,   9 ,   10 ,   5 ,   17 ,   16 ,   17 ,   3 ,   28 ,   16 ,- 
,,1ª opção,   61 ,   61 ,   3 ,- ,   7 ,   1 ,   9 ,   4 ,   6 ,   1 ,   21 ,   9 ,- 
,,2ª opção,   60 ,   60 ,   10 ,   4 ,   2 ,   2 ,   8 ,   11 ,   9 ,   2 ,   6 ,   6 ,- 
,,3ª opção,   13 ,   13 ,- ,   5 ,   1 ,   2 ,- ,   1 ,   2 ,- ,   1 ,   1 ,- 
,Outras,,   783 ,   781 ,   83 ,   77 ,   45 ,   190 ,   68 ,   15 ,   11 ,   83 ,   127 ,   82 ,   2 
,,1ª opção,   219 ,   218 ,   30 ,   25 ,   21 ,   8 ,   18 ,   6 ,   2 ,   10 ,   66 ,   32 ,   1 
,,2ª opção,   316 ,   315 ,   47 ,   34 ,   22 ,   20 ,   42 ,   8 ,   8 ,   34 ,   53 ,   47 ,   1 
,,3ª opção,   248 ,   248 ,   6 ,   18 ,   2 ,   162 ,   8 ,   1 ,   1 ,   39 ,   8 ,   3 ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma da Madeira",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
