Actividade renumerada exterior à exploração da população agrícola familiar (Lezíria do Tejo),,,,,,,,,,,,,,,
,,Construção,   192 ,   46 ,   4 ,   2 ,- ,   2 ,   3 ,   5 ,   7 ,- ,   7 ,   4 ,   12 
,,Comércio por grosso e retalho,   334 ,   72 ,   9 ,   1 ,   6 ,   4 ,   1 ,   3 ,   17 ,- ,   13 ,   2 ,   16 
,,Alojamento e restauração,   39 ,   7 ,- ,- ,- ,   3 ,- ,- ,- ,- ,- ,- ,   4 
,,Administração pública,   15 ,   7 ,   1 ,- ,- ,   3 ,- ,- ,- ,- ,   1 ,- ,   2 
,,Educação,   9 ,   5 ,- ,- ,   1 ,- ,- ,- ,- ,- ,- ,- ,   4 
,,Saúde e acção social,   6 ,   4 ,   1 ,- ,- ,- ,- ,- ,- ,- ,- ,   1 ,   2 
,,Outras,   219 ,   69 ,   13 ,   1 ,   1 ,   2 ,   1 ,   1 ,   1 ,- ,   5 ,   3 ,   41 
Produtor Singular,,,  59 944 ,  14 556 ,  1 316 ,   641 ,  1 552 ,   615 ,   992 ,   577 ,  1 361 ,   239 ,  2 120 ,   861 ,  4 282 
,Actividade exterior - principal,,  21 183 ,  5 332 ,   485 ,   248 ,   591 ,   250 ,   371 ,   178 ,   513 ,   47 ,   736 ,   322 ,  1 591 
,,"Agric, prod. animal, caça e activ. seviços relacionados",  2 887 ,   916 ,   134 ,   104 ,   89 ,   49 ,   58 ,   38 ,   140 ,   11 ,   112 ,   68 ,   113 
,,"Sivicult, exploraç. florestal e activ. seviços relacionados",   300 ,   101 ,   3 ,   1 ,   3 ,   2 ,   2 ,   5 ,   46 ,   1 ,   14 ,   10 ,   14 
,,"Pesca, aquacultura e activ. seviços relacionados",   112 ,   13 ,   2 ,   1 ,- ,- ,- ,- ,   2 ,- ,   3 ,   2 ,   3 
,,Ind. alimentares das bebidas e do tabaco,   472 ,   144 ,   32 ,   2 ,   14 ,   8 ,   6 ,   2 ,   20 ,   1 ,   18 ,   4 ,   37 
,,Outras indústrias,  3 926 ,   884 ,   26 ,   11 ,   127 ,   32 ,   95 ,   15 ,   43 ,   3 ,   161 ,   42 ,   329 
,,"Prod. e distribuição de  electricidade, gás e água",   342 ,   93 ,   10 ,   8 ,   11 ,   3 ,   12 ,   3 ,   4 ,   1 ,   7 ,   4 ,   30 
,,Construção,  3 628 ,   691 ,   114 ,   53 ,   64 ,   36 ,   26 ,   27 ,   77 ,   2 ,   69 ,   60 ,   163 
,,Comércio por grosso e retalho,  2 967 ,   705 ,   62 ,   19 ,   59 ,   42 ,   45 ,   10 ,   58 ,   7 ,   63 ,   49 ,   291 
,,Alojamento e restauração,   356 ,   79 ,   4 ,   2 ,   9 ,   9 ,   7 ,   1 ,   13 ,- ,   18 ,   3 ,   13 
,,Administração pública,  1 223 ,   350 ,   19 ,   18 ,   74 ,   14 ,   18 ,   10 ,   23 ,   7 ,   34 ,   15 ,   118 
,,Educação,   307 ,   90 ,   9 ,   4 ,   13 ,   4 ,   6 ,   2 ,   10 ,   1 ,   11 ,   2 ,   28 
,,Saúde e acção social,   256 ,   68 ,   2 ,   1 ,   16 ,   5 ,   7 ,- ,   3 ,   4 ,   9 ,   4 ,   17 
,,Outras,  4 407 ,  1 198 ,   68 ,   24 ,   112 ,   46 ,   89 ,   65 ,   74 ,   9 ,   217 ,   59 ,   435 
,Actividade exterior - secundária,,  1 387 ,   266 ,   55 ,   7 ,   17 ,   19 ,   18 ,   8 ,   43 ,- ,   25 ,   28 ,   46 
,,"Agric, prod. animal, caça e activ. seviços relacionados",   747 ,   150 ,   39 ,   4 ,   11 ,   13 ,   11 ,   3 ,   22 ,- ,   7 ,   19 ,   21 
,,"Sivicult, exploraç. florestal e activ. seviços relacionados",   19 ,   9 ,- ,- ,- ,- ,- ,- ,   7 ,- ,- ,   1 ,   1 
,,"Pesca, aquacultura e activ. seviços relacionados",   15 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Ind. alimentares das bebidas e do tabaco,   16 ,   5 ,   1 ,- ,- ,- ,   1 ,   1 ,   1 ,- ,   1 ,- ,- 
,,Outras indústrias,   59 ,   9 ,- ,   1 ,- ,   1 ,   1 ,- ,- ,- ,   3 ,- ,   3 
,,"Prod. e distribuição de  electricidade, gás e água",   2 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Construção,   151 ,   23 ,   3 ,   1 ,- ,   2 ,   3 ,   2 ,   4 ,- ,   2 ,   3 ,   3 
,,Comércio por grosso e retalho,   230 ,   34 ,   3 ,- ,   4 ,   1 ,   1 ,   2 ,   8 ,- ,   8 ,   2 ,   5 
,,Alojamento e restauração,   21 ,   3 ,- ,- ,- ,   1 ,- ,- ,- ,- ,- ,- ,   2 
,,Administração pública,   9 ,   3 ,   1 ,- ,- ,   1 ,- ,- ,- ,- ,   1 ,- ,- 
,,Educação,   3 ,   1 ,- ,- ,   1 ,- ,- ,- ,- ,- ,- ,- ,- 
,,Saúde e acção social,   3 ,   2 ,   1 ,- ,- ,- ,- ,- ,- ,- ,- ,   1 ,- 
,,Outras,   112 ,   27 ,   7 ,   1 ,   1 ,- ,   1 ,- ,   1 ,- ,   3 ,   2 ,   11 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo.",,,,,,,,,,,,,,,
