Principais características da população familiar (Homens - Ilha do Corvo),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Pág. 2/6
,Politécnico / Superior agrícola,,   38 ,   31 ,   7 ,   4 ,   3 ,   2 ,   1 ,   17 ,   6 ,   8 ,   3 ,   4 ,   3 ,   1 ,   2 ,- 
,Politécnico / Superior não agrícola,,   123 ,   87 ,   36 ,   7 ,   18 ,   12 ,   6 ,   57 ,   21 ,   30 ,   6 ,   15 ,   11 ,   9 ,   2 ,   1 
Formação profissional agrícola,,,,,,,,,,,,,,,,,,
,Exclusivamente prática,,  5 643 ,  3 255 ,  2 388 ,  1 048 ,  1 521 ,   790 ,   731 ,  3 213 ,  1 190 ,  1 366 ,   657 ,  1 433 ,   700 ,   312 ,   388 ,   103 
,Curta duração,,   141 ,   105 ,   36 ,   7 ,   61 ,   17 ,   44 ,   71 ,   36 ,   16 ,   19 ,   10 ,   58 ,   35 ,   23 ,   11 
,Longa duração,,   85 ,   63 ,   22 ,   5 ,   46 ,   17 ,   29 ,   25 ,   14 ,   6 ,   5 ,   21 ,   14 ,   11 ,   3 ,   1 
,Longa e curta duração,,   96 ,   77 ,   19 ,   1 ,   23 ,   14 ,   9 ,   28 ,   17 ,   6 ,   5 ,   42 ,   8 ,   1 ,   7 ,- 
,Completa,,   61 ,   48 ,   13 ,   5 ,   3 ,   2 ,   1 ,   28 ,   11 ,   12 ,   5 ,   5 ,   3 ,   1 ,   2 ,- 
Tempo de actividade agrícola ,,,,,,,,,,,,,,,,,,
,Sem actividade,,  2 092 ,  1 234 ,   858 ,   371 ,   742 ,   368 ,   374 ,  1 101 ,   471 ,   421 ,   209 ,   803 ,   191 ,   95 ,   96 ,   9 
,Tempo parcial,,  5 021 ,  2 887 ,  2 134 ,  1 011 ,  1 496 ,   732 ,   764 ,  3 105 ,  1 167 ,  1 283 ,   655 ,  1 207 ,   698 ,   326 ,   372 ,   72 
,,> 0 - < 25%,  3 011 ,  1 638 ,  1 373 ,   722 ,   729 ,   293 ,   436 ,  2 295 ,   885 ,   904 ,   506 ,   733 ,   464 ,   196 ,   268 ,   34 
,,25 - < 50%,  1 265 ,   811 ,   454 ,   174 ,   313 ,   186 ,   127 ,   447 ,   134 ,   236 ,   77 ,   307 ,   106 ,   57 ,   49 ,   25 
,,50 - < 75%,   309 ,   192 ,   117 ,   45 ,   161 ,   101 ,   60 ,   180 ,   63 ,   81 ,   36 ,   104 ,   34 ,   27 ,   7 ,   7 
,,75 - < 100%,   436 ,   246 ,   190 ,   70 ,   293 ,   152 ,   141 ,   183 ,   85 ,   62 ,   36 ,   63 ,   94 ,   46 ,   48 ,   6 
,Tempo completo,,   935 ,   608 ,   327 ,   55 ,   144 ,   103 ,   41 ,   226 ,   111 ,   92 ,   23 ,   276 ,   64 ,   38 ,   26 ,   44 
Actividades remuneradas exterior à exploração,,,,,,,,,,,,,,,,,,
,Principal,,  3 170 ,  1 801 ,  1 369 ,   566 ,   638 ,   292 ,   346 ,  1 597 ,   644 ,   652 ,   301 ,   887 ,   319 ,   159 ,   160 ,   40 
Sector primário,,,   320 ,   226 ,   94 ,   105 ,   123 ,   54 ,   69 ,   258 ,   93 ,   136 ,   29 ,   45 ,   46 ,   35 ,   11 ,   3 
Sector secundário,,,   827 ,   491 ,   336 ,   209 ,   186 ,   82 ,   104 ,   458 ,   210 ,   161 ,   87 ,   295 ,   112 ,   34 ,   78 ,   4 
Sector terciário,,,  2 023 ,  1 084 ,   939 ,   252 ,   329 ,   156 ,   173 ,   881 ,   341 ,   355 ,   185 ,   547 ,   161 ,   90 ,   71 ,   33 
,Secundária,,   56 ,   28 ,   28 ,   12 ,   14 ,   5 ,   9 ,   77 ,   26 ,   34 ,   17 ,- ,   34 ,   26 ,   8 ,- 
Sector primário,,,   28 ,   16 ,   12 ,   9 ,   9 ,   2 ,   7 ,   42 ,   7 ,   27 ,   8 ,- ,   4 ,   2 ,   2 ,- 
Sector secundário,,,   6 ,   3 ,   3 ,   1 ,   2 ,   2 ,- ,   21 ,   11 ,   4 ,   6 ,- ,   8 ,   7 ,   1 ,- 
Sector terciário,,,   22 ,   9 ,   13 ,   2 ,   3 ,   1 ,   2 ,   14 ,   8 ,   3 ,   3 ,- ,   22 ,   17 ,   5 ,- 
Situação na profissão exterior à exploração,,,,,,,,,,,,,,,,,,
,,Patrão/empregador,   265 ,   181 ,   84 ,   42 ,   36 ,   16 ,   20 ,   107 ,   53 ,   29 ,   25 ,   78 ,   16 ,   10 ,   6 ,- 
,,Trabalhador por conta própria,   306 ,   157 ,   149 ,   55 ,   100 ,   44 ,   56 ,   184 ,   85 ,   73 ,   26 ,   75 ,   37 ,   24 ,   13 ,   8 
,,Trabalhador por conta de outrem,  2 573 ,  1 456 ,  1 117 ,   476 ,   502 ,   229 ,   273 ,  1 380 ,   532 ,   583 ,   265 ,   727 ,   289 ,   146 ,   143 ,   32 
,,Trabalhador familiar remunerado,   6 ,   4 ,   2 ,   2 ,   7 ,   4 ,   3 ,   1 ,- ,- ,   1 ,   4 ,- ,- ,- ,- 
,,Outra situação,   76 ,   31 ,   45 ,   3 ,   7 ,   4 ,   3 ,   2 ,- ,   1 ,   1 ,   3 ,   11 ,   5 ,   6 ,- 
Dirigente na população familiar,,,  4 151 ,  2 416 ,  1 735 ,   813 ,  1 158 ,   574 ,   584 ,  2 225 ,   864 ,   933 ,   428 ,  1 092 ,   411 ,   214 ,   197 ,   60 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
