Principais características da população familiar (Homem/Mulher - Ilha do Corvo),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Pág. 2/6
,Tempo parcial,,  8 015 ,  4 754 ,  3 261 ,  1 615 ,  2 312 ,  1 166 ,  1 146 ,  5 510 ,  1 928 ,  2 358 ,  1 224 ,  1 933 ,  1 250 ,   593 ,   657 ,   166 
,,> 0 - < 25%,  5 677 ,  3 268 ,  2 409 ,  1 266 ,  1 318 ,   596 ,   722 ,  4 384 ,  1 531 ,  1 843 ,  1 010 ,  1 265 ,   876 ,   390 ,   486 ,   99 
,,25 - < 50%,  1 492 ,   964 ,   528 ,   213 ,   453 ,   268 ,   185 ,   638 ,   185 ,   327 ,   126 ,   454 ,   171 ,   104 ,   67 ,   45 
,,50 - < 75%,   363 ,   235 ,   128 ,   60 ,   223 ,   138 ,   85 ,   265 ,   96 ,   120 ,   49 ,   137 ,   63 ,   44 ,   19 ,   15 
,,75 - < 100%,   483 ,   287 ,   196 ,   76 ,   318 ,   164 ,   154 ,   223 ,   116 ,   68 ,   39 ,   77 ,   140 ,   55 ,   85 ,   7 
,Tempo completo,,   961 ,   623 ,   338 ,   56 ,   148 ,   106 ,   42 ,   241 ,   115 ,   100 ,   26 ,   304 ,   93 ,   43 ,   50 ,   54 
Actividades remuneradas exterior à exploração,,,,,,,,,,,,,,,,,,
,Principal,,  4 683 ,  2 796 ,  1 887 ,   734 ,   966 ,   464 ,   502 ,  2 445 ,   930 ,  1 051 ,   464 ,  1 368 ,   452 ,   229 ,   223 ,   59 
Sector primário,,,   340 ,   237 ,   103 ,   112 ,   157 ,   75 ,   82 ,   292 ,   95 ,   168 ,   29 ,   55 ,   54 ,   42 ,   12 ,   3 
Sector secundário,,,   907 ,   537 ,   370 ,   217 ,   228 ,   108 ,   120 ,   563 ,   238 ,   226 ,   99 ,   350 ,   120 ,   37 ,   83 ,   4 
Sector terciário,,,  3 436 ,  2 022 ,  1 414 ,   405 ,   581 ,   281 ,   300 ,  1 590 ,   597 ,   657 ,   336 ,   963 ,   278 ,   150 ,   128 ,   52 
,Secundária,,   78 ,   31 ,   47 ,   13 ,   19 ,   7 ,   12 ,   97 ,   35 ,   37 ,   25 ,- ,   45 ,   36 ,   9 ,- 
Sector primário,,,   28 ,   16 ,   12 ,   10 ,   10 ,   3 ,   7 ,   42 ,   7 ,   27 ,   8 ,- ,   4 ,   2 ,   2 ,- 
Sector secundário,,,   11 ,   3 ,   8 ,   1 ,   5 ,   3 ,   2 ,   28 ,   16 ,   5 ,   7 ,- ,   9 ,   8 ,   1 ,- 
Sector terciário,,,   39 ,   12 ,   27 ,   2 ,   4 ,   1 ,   3 ,   27 ,   12 ,   5 ,   10 ,- ,   32 ,   26 ,   6 ,- 
Situação na profissão exterior à exploração,,,,,,,,,,,,,,,,,,
,,Patrão/empregador,   338 ,   233 ,   105 ,   55 ,   50 ,   21 ,   29 ,   144 ,   73 ,   39 ,   32 ,   99 ,   25 ,   16 ,   9 ,   3 
,,Trabalhador por conta própria,   418 ,   204 ,   214 ,   70 ,   121 ,   54 ,   67 ,   266 ,   107 ,   110 ,   49 ,   96 ,   55 ,   35 ,   20 ,   11 
,,Trabalhador por conta de outrem,  3 875 ,  2 334 ,  1 541 ,   614 ,   793 ,   383 ,   410 ,  2 125 ,   785 ,   938 ,   402 ,  1 159 ,   405 ,   208 ,   197 ,   45 
,,Trabalhador familiar remunerado,   10 ,   6 ,   4 ,   3 ,   12 ,   9 ,   3 ,   1 ,- ,- ,   1 ,   11 ,- ,- ,- ,- 
,,Outra situação,   120 ,   50 ,   70 ,   5 ,   9 ,   4 ,   5 ,   6 ,- ,   1 ,   5 ,   3 ,   12 ,   6 ,   6 ,- 
Dirigente na população familiar,,,  4 458 ,  2 589 ,  1 869 ,   920 ,  1 275 ,   641 ,   634 ,  2 639 ,  1 002 ,  1 083 ,   554 ,  1 261 ,   604 ,   303 ,   301 ,   64 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
