Principais características da população familiar (Mulher / Alto Alentejo - Arronches),,,,,,,,,,,,
,,,,,,,,,,,,Pág 11/15
,Longa duração,,   285 ,   36 ,   8 ,   4 ,   17 ,   6 ,   1 ,   68 ,- ,   4 
,Longa e curta duração,,   130 ,   17 ,   4 ,   2 ,   3 ,   5 ,   3 ,   39 ,   3 ,   2 
,Completa,,   547 ,   63 ,   23 ,   20 ,   6 ,   13 ,   1 ,   160 ,   11 ,   5 
Tempo de actividade agrícola ,,,,,,,,,,,,
,Sem actividade,,  16 020 ,  2 562 ,   453 ,   374 ,   703 ,   915 ,   117 ,  4 023 ,   102 ,   275 
,Tempo parcial,,  26 342 ,  4 382 ,   725 ,   767 ,  1 586 ,  1 138 ,   166 ,  8 602 ,   289 ,   262 
,,> 0 - < 25%,  18 353 ,  2 536 ,   346 ,   394 ,  1 002 ,   681 ,   113 ,  5 517 ,   226 ,   105 
,,25 - < 50%,  4 572 ,  1 002 ,   183 ,   186 ,   336 ,   262 ,   35 ,  1 779 ,   34 ,   78 
,,50 - < 75%,  1 960 ,   492 ,   81 ,   94 ,   192 ,   112 ,   13 ,   755 ,   10 ,   39 
,,75 - < 100%,  1 457 ,   352 ,   115 ,   93 ,   56 ,   83 ,   5 ,   551 ,   19 ,   40 
,Tempo completo,,  1 416 ,   193 ,   29 ,   85 ,   27 ,   51 ,   1 ,   423 ,   5 ,   9 
Actividades remuneradas exterior à exploração,,,,,,,,,,,,
,Principal,,  9 707 ,  1 568 ,   354 ,   259 ,   441 ,   467 ,   47 ,  2 746 ,   64 ,   129 
,,Sector primário,  1 538 ,   296 ,   100 ,   33 ,   113 ,   49 ,   1 ,   419 ,   6 ,   29 
,,Sector secundário,   835 ,   79 ,   26 ,   8 ,   17 ,   24 ,   4 ,   310 ,   6 ,   13 
,,Sector terciário,  7 334 ,  1 193 ,   228 ,   218 ,   311 ,   394 ,   42 ,  2 017 ,   52 ,   87 
,Seundária,,   117 ,   48 ,   7 ,   17 ,   19 ,   4 ,   1 ,   19 ,- ,   1 
,,Sector primário,   64 ,   25 ,   7 ,   6 ,   11 ,   1 ,- ,   12 ,- ,- 
,,Sector secundário,   11 ,   5 ,- ,   2 ,   1 ,   2 ,- ,- ,- ,- 
,,Sector terciário,   42 ,   18 ,- ,   9 ,   7 ,   1 ,   1 ,   7 ,- ,   1 
Situação na profissão exterior à exploração,,,,,,,,,,,,
,Patrão/empregador,,   617 ,   72 ,   23 ,   13 ,   20 ,   14 ,   2 ,   200 ,   2 ,   17 
,Trabalhador por conta própria,,  1 574 ,   346 ,   107 ,   63 ,   88 ,   79 ,   9 ,   378 ,   9 ,   9 
,Trabalhador por conta de outrem,,  7 375 ,  1 143 ,   228 ,   194 ,   329 ,   356 ,   36 ,  2 152 ,   52 ,   104 
,Trabalhador familiar remunerado,,   133 ,   27 ,   2 ,   4 ,   8 ,   12 ,   1 ,   23 ,- ,- 
,Outra situação,,   125 ,   28 ,   1 ,   2 ,   15 ,   10 ,- ,   12 ,   1 ,- 
Dirigente na população familiar,,,  5 369 ,   839 ,   152 ,   176 ,   243 ,   246 ,   22 ,  1 850 ,   47 ,   97 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
