Principais características do produtor singular (Homem / Alto Alentejo - Arronches),,,,,,,,,,,,
,,,,,,,,,,,,Pág 6/15
,Exclusivamente prática,,  26 388 ,  4 260 ,   554 ,   746 ,  1 549 ,  1 231 ,   180 ,  8 372 ,   252 ,   341 
,Curta duração,,   438 ,   43 ,   7 ,   6 ,   8 ,   21 ,   1 ,   75 ,   3 ,   2 
,Longa duração,,   674 ,   89 ,   17 ,   10 ,   28 ,   33 ,   1 ,   145 ,   1 ,   9 
,Longa e curta duração,,   344 ,   43 ,   5 ,   2 ,   13 ,   17 ,   6 ,   83 ,   5 ,   6 
,Completa,,   741 ,   94 ,   29 ,   20 ,   22 ,   20 ,   3 ,   214 ,   15 ,   8 
Tempo de actividade agrícola ,,,,,,,,,,,,
,Tempo parcial,,  22 914 ,  3 727 ,   396 ,   548 ,  1 437 ,  1 160 ,   186 ,  7 380 ,   240 ,   312 
,,> 0 - < 25%,  10 864 ,  1 374 ,   114 ,   197 ,   502 ,   477 ,   84 ,  3 131 ,   140 ,   126 
,,25 - < 50%,  5 471 ,   901 ,   67 ,   125 ,   427 ,   239 ,   43 ,  2 059 ,   38 ,   77 
,,50 - < 75%,  3 058 ,   746 ,   138 ,   86 ,   316 ,   169 ,   37 ,   989 ,   16 ,   52 
,,75 - < 100%,  3 521 ,   706 ,   77 ,   140 ,   192 ,   275 ,   22 ,  1 201 ,   46 ,   57 
,Tempo completo,,  5 671 ,   802 ,   216 ,   236 ,   183 ,   162 ,   5 ,  1 509 ,   36 ,   54 
Actividades remuneradas exterior à exploração,,,,,,,,,,,,
,Principal,,  8 910 ,  1 283 ,   217 ,   224 ,   376 ,   399 ,   67 ,  2 690 ,   84 ,   100 
,,Sector primário,  2 240 ,   363 ,   80 ,   59 ,   115 ,   96 ,   13 ,   504 ,   21 ,   21 
,,Sector secundário,  2 382 ,   340 ,   65 ,   53 ,   94 ,   109 ,   19 ,   846 ,   21 ,   21 
,,Sector terciário,  4 288 ,   580 ,   72 ,   112 ,   167 ,   194 ,   35 ,  1 340 ,   42 ,   58 
,Secundária,,   413 ,   102 ,   13 ,   25 ,   46 ,   16 ,   2 ,   43 ,- ,   1 
,,Sector primário,   195 ,   55 ,   8 ,   10 ,   27 ,   9 ,   1 ,   21 ,- ,- 
,,Sector secundário,   53 ,   10 ,   1 ,   4 ,   1 ,   4 ,- ,   8 ,- ,- 
,,Sector terciário,   165 ,   37 ,   4 ,   11 ,   18 ,   3 ,   1 ,   14 ,- ,   1 
Situação na profissão exterior à exploração,,,,,,,,,,,,
,Patrão/empregador,,  1 241 ,   156 ,   30 ,   29 ,   46 ,   47 ,   4 ,   357 ,   11 ,   15 
,Trabalhador por conta própria,,  1 963 ,   403 ,   83 ,   73 ,   128 ,   111 ,   8 ,   450 ,   9 ,   14 
,Trabalhador por conta de outrem,,  6 022 ,   818 ,   116 ,   146 ,   243 ,   256 ,   57 ,  1 917 ,   63 ,   72 
,Trabalhador familiar remunerado,,   26 ,   3 ,   1 ,- ,   2 ,- ,- ,   2 ,- ,- 
,Outra situação,,   71 ,   5 ,- ,   1 ,   3 ,   1 ,- ,   7 ,   1 ,- 
Produtor singular dirigente,,,  28 383 ,  4 506 ,   608 ,   776 ,  1 613 ,  1 318 ,   191 ,  8 829 ,   273 ,   366 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
