Principais características da população familiar (Mulheres - Ilha de São Miguel - Vila Franca do Campo),,,,,,,,,,,
,,,,,,,,,,,Pág. 5/6
,Sem actividade,,  15 034 ,   415 ,  4 523 ,   170 ,   391 ,  1 721 ,   518 ,  1 434 ,   289 
,Tempo parcial,,  17 863 ,   498 ,  9 174 ,   949 ,   694 ,  3 646 ,   615 ,  1 863 ,  1 407 
,,> 0 - < 25%,  16 301 ,   369 ,  9 035 ,   939 ,   669 ,  3 605 ,   611 ,  1 813 ,  1 398 
,,25 - < 50%,  1 031 ,   89 ,   113 ,   8 ,   22 ,   34 ,   1 ,   42 ,   6 
,,50 - < 75%,   328 ,   25 ,   17 ,   2 ,   2 ,   3 ,   3 ,   6 ,   1 
,,75 - < 100%,   203 ,   15 ,   9 ,- ,   1 ,   4 ,- ,   2 ,   2 
,Tempo completo,,   130 ,   1 ,   16 ,- ,- ,   11 ,- ,   5 ,- 
Actividades remuneradas exterior à exploração,,,,,,,,,,,
,Principal,,  5 954 ,   151 ,  2 313 ,   201 ,   182 ,   991 ,   151 ,   579 ,   209 
Sector primário,,,   145 ,   1 ,   31 ,   1 ,   3 ,   10 ,- ,   11 ,   6 
Sector secundário,,,   496 ,   10 ,   188 ,   14 ,   6 ,   65 ,   9 ,   72 ,   22 
Sector terciário,,,  5 313 ,   140 ,  2 094 ,   186 ,   173 ,   916 ,   142 ,   496 ,   181 
,Secundária,,   72 ,   1 ,   12 ,   1 ,   1 ,   3 ,   1 ,   6 ,- 
Sector primário,,,   2 ,- ,- ,- ,- ,- ,- ,- ,- 
Sector secundário,,,   16 ,- ,- ,- ,- ,- ,- ,- ,- 
Sector terciário,,,   54 ,   1 ,   12 ,   1 ,   1 ,   3 ,   1 ,   6 ,- 
Situação na profissão exterior à exploração,,,,,,,,,,,
,,Patrão/empregador,   271 ,   5 ,   96 ,   8 ,   4 ,   39 ,   7 ,   27 ,   11 
,,Trabalhador por conta própria,   387 ,   9 ,   106 ,   11 ,   4 ,   35 ,   14 ,   26 ,   16 
,,Trabalhador por conta de outrem,  5 218 ,   131 ,  2 050 ,   176 ,   173 ,   902 ,   129 ,   492 ,   178 
,,Trabalhador familiar remunerado,   62 ,   3 ,   42 ,   4 ,   1 ,   12 ,   1 ,   20 ,   4 
,,Outra situação,   88 ,   4 ,   31 ,   3 ,   1 ,   6 ,   1 ,   20 ,- 
Dirigente na população familiar,,,  1 942 ,   88 ,   543 ,   22 ,   38 ,   246 ,   39 ,   133 ,   65 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
