Principais características do produtor singular (Homem/Mulher - Ilha do Pico - Laje do Pico),,,,,,,,,,,
,,,,,,,,,,,Pág. 2/9
,Tempo completo,,   756 ,   489 ,   267 ,   48 ,   117 ,   78 ,   39 ,   217 ,   106 
Actividades remuneradas exterior à exploração,,,,,,,,,,,
,Principal,,  1 894 ,  1 067 ,   827 ,   382 ,   357 ,   171 ,   186 ,   974 ,   361 
,,Sector primário,   158 ,   108 ,   50 ,   76 ,   53 ,   29 ,   24 ,   163 ,   43 
,,Sector secundário,   408 ,   249 ,   159 ,   137 ,   88 ,   41 ,   47 ,   237 ,   95 
,,Sector terciário,  1 328 ,   710 ,   618 ,   169 ,   216 ,   101 ,   115 ,   574 ,   223 
,Secundária,,   57 ,   29 ,   28 ,   11 ,   16 ,   5 ,   11 ,   77 ,   29 
,,Sector primário,   27 ,   16 ,   11 ,   9 ,   9 ,   2 ,   7 ,   34 ,   6 
,,Sector secundário,   5 ,   3 ,   2 ,   1 ,   4 ,   3 ,   1 ,   24 ,   14 
,,Sector terciário,   25 ,   10 ,   15 ,   1 ,   3 ,- ,   3 ,   19 ,   9 
Situação na profissão exterior à exploração,,,,,,,,,,,
,Patrão/empregador,,   212 ,   142 ,   70 ,   38 ,   34 ,   14 ,   20 ,   88 ,   40 
,Trabalhador por conta própria,,   223 ,   108 ,   115 ,   45 ,   64 ,   37 ,   27 ,   146 ,   56 
,Trabalhador por conta de outrem,,  1 454 ,   820 ,   634 ,   308 ,   267 ,   121 ,   146 ,   815 ,   294 
,Trabalhador familiar remunerado,,   2 ,   1 ,   1 ,   2 ,   3 ,   2 ,   1 ,- ,- 
,Outra situação,,   60 ,   25 ,   35 ,- ,   5 ,   2 ,   3 ,   2 ,- 
Produtor singular  dirigente,,,  4 234 ,  2 460 ,  1 774 ,   871 ,  1 247 ,   626 ,   621 ,  2 614 ,   987 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
