Principais características do produtor singular (Homem/Mulher / Alto Alentejo - Mora),,,,,,,,,,,,
,,,,,,,,,,,,Pág 2/15
,Principal,,   125 ,   239 ,   67 ,   127 ,   234 ,   68 ,   215 ,   124 ,   61 ,   165 
,,Sector primário,   27 ,   37 ,   4 ,   10 ,   43 ,   27 ,   28 ,   23 ,   20 ,   34 
,,Sector secundário,   20 ,   89 ,   11 ,   50 ,   24 ,   9 ,   45 ,   48 ,   7 ,   52 
,,Sector terciário,   78 ,   113 ,   52 ,   67 ,   167 ,   32 ,   142 ,   53 ,   34 ,   79 
,Secundária,,   6 ,- ,- ,   2 ,   2 ,   4 ,   4 ,   1 ,   5 ,   3 
,,Sector primário,   5 ,- ,- ,- ,   1 ,   2 ,   1 ,- ,   4 ,   2 
,,Sector secundário,- ,- ,- ,   1 ,- ,   1 ,   1 ,   1 ,- ,- 
,,Sector terciário,   1 ,- ,- ,   1 ,   1 ,   1 ,   2 ,- ,   1 ,   1 
Situação na profissão exterior à exploração,,,,,,,,,,,,
,Patrão/empregador,,   13 ,   52 ,   7 ,   18 ,   48 ,   8 ,   9 ,   13 ,   11 ,   30 
,Trabalhador por conta própria,,   31 ,   14 ,   16 ,   21 ,   33 ,   12 ,   37 ,   26 ,   19 ,   21 
,Trabalhador por conta de outrem,,   85 ,   173 ,   44 ,   89 ,   155 ,   51 ,   173 ,   85 ,   36 ,   117 
,Trabalhador familiar remunerado,,   1 ,- ,- ,   1 ,- ,- ,- ,- ,- ,- 
,Outra situação,,   1 ,- ,- ,- ,- ,   1 ,- ,   1 ,- ,- 
Produtor singular dirigente,,,   432 ,   644 ,   288 ,   437 ,   756 ,   220 ,   936 ,   543 ,   217 ,   487 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
