Principais características do produtor singular (Homem/Mulher / Baixo Alentejo - Aljustrel),,,,,,,,,,,,
,,,,,,,,,,,,Pág 4/15
,,Sector secundário,   29 ,   64 ,   40 ,   102 ,   18 ,   39 ,   14 ,   44 ,   492 ,   26 
,,Sector terciário,   57 ,   110 ,   136 ,   139 ,   97 ,   47 ,   55 ,   51 ,  1 401 ,   55 
,Secundária,,   6 ,   3 ,   9 ,   20 ,   9 ,   3 ,   2 ,   1 ,   193 ,   4 
,,Sector primário,   3 ,   1 ,- ,   10 ,   9 ,- ,   1 ,- ,   88 ,   3 
,,Sector secundário,- ,- ,   4 ,   2 ,- ,   1 ,- ,- ,   22 ,   1 
,,Sector terciário,   3 ,   2 ,   5 ,   8 ,- ,   2 ,   1 ,   1 ,   83 ,- 
Situação na profissão exterior à exploração,,,,,,,,,,,,
,Patrão/empregador,,   10 ,   37 ,   50 ,   43 ,   25 ,   30 ,   14 ,   12 ,   295 ,   3 
,Trabalhador por conta própria,,   15 ,   58 ,   46 ,   66 ,   39 ,   14 ,   21 ,   38 ,   629 ,   22 
,Trabalhador por conta de outrem,,   99 ,   170 ,   166 ,   202 ,   102 ,   61 ,   51 ,   60 ,  1 864 ,   102 
,Trabalhador familiar remunerado,,- ,   1 ,   1 ,- ,- ,- ,   1 ,- ,   10 ,   1 
,Outra situação,,- ,   3 ,   3 ,- ,- ,   1 ,- ,   1 ,   60 ,   1 
Produtor singular dirigente,,,   340 ,   724 ,   618 ,   909 ,   497 ,   218 ,   294 ,   300 ,  9 292 ,   446 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
