Principais características do produtor singular (Mulher / Baixo Alentejo - Aljustrel),,,,,,,,,,,,
,,,,,,,,,,,,Pág 14/15
Actividades remuneradas exterior à exploração,,,,,,,,,,,,
,Principal,,   14 ,   36 ,   21 ,   34 ,   20 ,   8 ,   13 ,   9 ,   300 ,   13 
,,Sector primário,- ,   10 ,   6 ,   10 ,   3 ,   2 ,- ,   2 ,   29 ,   1 
,,Sector secundário,   1 ,   4 ,- ,   4 ,   1 ,- ,- ,   2 ,   16 ,- 
,,Sector terciário,   13 ,   22 ,   15 ,   20 ,   16 ,   6 ,   13 ,   5 ,   255 ,   12 
,Secundária,,- ,   1 ,   1 ,   1 ,   1 ,- ,   1 ,- ,   11 ,- 
,,Sector primário,- ,- ,- ,   1 ,   1 ,- ,- ,- ,   4 ,- 
,,Sector secundário,- ,- ,   1 ,- ,- ,- ,- ,- ,   1 ,- 
,,Sector terciário,- ,   1 ,- ,- ,- ,- ,   1 ,- ,   6 ,- 
Situação na profissão exterior à exploração,,,,,,,,,,,,
,Patrão/empregador,,   1 ,   4 ,   2 ,   1 ,   2 ,   2 ,   1 ,   2 ,   15 ,- 
,Trabalhador por conta própria,,   2 ,   7 ,   4 ,   6 ,   6 ,- ,   3 ,   2 ,   76 ,   4 
,Trabalhador por conta de outrem,,   11 ,   26 ,   16 ,   28 ,   13 ,   6 ,   10 ,   5 ,   202 ,   9 
,Trabalhador familiar remunerado,,- ,- ,- ,- ,- ,- ,- ,- ,   4 ,- 
,Outra situação,,- ,- ,- ,- ,- ,- ,- ,- ,   14 ,- 
Produtor singular dirigente,,,   40 ,   136 ,   88 ,   125 ,   88 ,   20 ,   37 ,   51 ,  1 323 ,   63 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
