Principais características do produtor singular (Homem / Baixo Alentejo - Aljustrel),,,,,,,,,,,,
,,,,,,,,,,,,Pág 9/15
,,25 - < 50%,   65 ,   69 ,   61 ,   208 ,   55 ,   26 ,   34 ,   68 ,  1 303 ,   39 
,,50 - < 75%,   32 ,   34 ,   24 ,   99 ,   28 ,   63 ,   29 ,   26 ,   630 ,   14 
,,75 - < 100%,   61 ,   32 ,   52 ,   231 ,   17 ,   16 ,   52 ,   15 ,   919 ,   16 
,Tempo completo,,   5 ,   113 ,   95 ,   41 ,   100 ,   67 ,   87 ,   54 ,  1 702 ,   168 
Actividades remuneradas exterior à exploração,,,,,,,,,,,,
,Principal,,   104 ,   230 ,   236 ,   257 ,   137 ,   95 ,   72 ,   101 ,  2 365 ,   112 
,,Sector primário,   32 ,   82 ,   75 ,   40 ,   39 ,   15 ,   16 ,   13 ,   743 ,   43 
,,Sector secundário,   28 ,   60 ,   40 ,   98 ,   17 ,   39 ,   14 ,   42 ,   476 ,   26 
,,Sector terciário,   44 ,   88 ,   121 ,   119 ,   81 ,   41 ,   42 ,   46 ,  1 146 ,   43 
,Secundária,,   6 ,   2 ,   8 ,   19 ,   8 ,   3 ,   1 ,   1 ,   182 ,   4 
,,Sector primário,   3 ,   1 ,- ,   9 ,   8 ,- ,   1 ,- ,   84 ,   3 
,,Sector secundário,- ,- ,   3 ,   2 ,- ,   1 ,- ,- ,   21 ,   1 
,,Sector terciário,   3 ,   1 ,   5 ,   8 ,- ,   2 ,- ,   1 ,   77 ,- 
Situação na profissão exterior à exploração,,,,,,,,,,,,
,Patrão/empregador,,   9 ,   33 ,   48 ,   42 ,   23 ,   28 ,   13 ,   10 ,   280 ,   3 
,Trabalhador por conta própria,,   13 ,   51 ,   42 ,   60 ,   33 ,   14 ,   18 ,   36 ,   553 ,   18 
,Trabalhador por conta de outrem,,   88 ,   144 ,   150 ,   174 ,   89 ,   55 ,   41 ,   55 ,  1 662 ,   93 
,Trabalhador familiar remunerado,,- ,   1 ,   1 ,- ,- ,- ,   1 ,- ,   6 ,   1 
,Outra situação,,- ,   3 ,   3 ,- ,- ,   1 ,- ,   1 ,   46 ,   1 
Produtor singular dirigente,,,   300 ,   588 ,   530 ,   784 ,   409 ,   198 ,   257 ,   249 ,  7 969 ,   383 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
