Principais características do produtor singular (Homem/Mulher / Alentejo Central - Montemor-o-Novo),,,,,,,,,,,,
,,,,,,,,,,,,Pág 3/15
,,50 - < 75%,   181 ,   235 ,   163 ,   785 ,   27 ,   28 ,   49 ,   117 ,   91 ,   95 
,,75 - < 100%,   149 ,   188 ,   262 ,   760 ,   16 ,   12 ,   58 ,   26 ,   42 ,   104 
,Tempo completo,,   218 ,   244 ,   161 ,  1 817 ,   217 ,   130 ,   82 ,   265 ,   324 ,   196 
Actividades remuneradas exterior à exploração,,,,,,,,,,,,
,Principal,,   329 ,   646 ,   451 ,  2 930 ,   236 ,   121 ,   190 ,   337 ,   411 ,   248 
,,Sector primário,   38 ,   178 ,   52 ,   690 ,   58 ,   27 ,   33 ,   79 ,   75 ,   73 
,,Sector secundário,   101 ,   210 ,   166 ,   752 ,   83 ,   23 ,   70 ,   80 ,   94 ,   52 
,,Sector terciário,   190 ,   258 ,   233 ,  1 488 ,   95 ,   71 ,   87 ,   178 ,   242 ,   123 
,Secundária,,   1 ,   8 ,   10 ,   94 ,- ,   7 ,   7 ,   9 ,   11 ,   7 
,,Sector primário,   1 ,   2 ,   6 ,   38 ,- ,- ,   1 ,   5 ,   4 ,   4 
,,Sector secundário,- ,   2 ,   2 ,   15 ,- ,   2 ,   2 ,   1 ,   2 ,   1 
,,Sector terciário,- ,   4 ,   2 ,   41 ,- ,   5 ,   4 ,   3 ,   5 ,   2 
Situação na profissão exterior à exploração,,,,,,,,,,,,
,Patrão/empregador,,   43 ,   58 ,   57 ,   483 ,   15 ,   18 ,   45 ,   72 ,   66 ,   46 
,Trabalhador por conta própria,,   67 ,   129 ,   60 ,   609 ,   50 ,   41 ,   28 ,   66 ,   75 ,   52 
,Trabalhador por conta de outrem,,   219 ,   462 ,   342 ,  1 903 ,   170 ,   66 ,   120 ,   207 ,   276 ,   153 
,Trabalhador familiar remunerado,,   1 ,   1 ,   1 ,   16 ,- ,   3 ,   4 ,   1 ,   2 ,   3 
,Outra situação,,- ,   4 ,   1 ,   13 ,   1 ,- ,- ,- ,   3 ,   1 
Produtor singular dirigente,,,  1 353 ,  1 964 ,  1 600 ,  8 382 ,   871 ,   355 ,   471 ,  1 039 ,  1 012 ,   734 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
