Produtor singular segundo a OTE e as classes de idade (Bovinos para gado/carne - Ilha da Madeira - Ponta do Sol),,,,,,,,,,,,
,,15 - 24,   2 ,- ,- ,- ,- ,   2 ,- ,- ,- ,- 
,,25 - 34,   15 ,- ,- ,   2 ,   1 ,   11 ,- ,- ,- ,- 
,,35 - 44,   46 ,- ,   4 ,   6 ,   2 ,   26 ,- ,- ,- ,- 
,,45 - 54,   197 ,- ,   6 ,   12 ,   10 ,   122 ,- ,   12 ,- ,- 
,,55 - 64,   307 ,- ,   10 ,   23 ,   18 ,   197 ,- ,   11 ,- ,- 
,,>= 65,   667 ,- ,   14 ,   46 ,   43 ,   453 ,- ,   23 ,- ,   1 
,,Machico,,,,,,,,,,
,,Total,  1 320 ,   4 ,   113 ,   165 ,   59 ,   56 ,- ,   95 ,- ,   1 
,,15 - 24,   4 ,- ,   1 ,   1 ,- ,- ,- ,- ,- ,- 
,,25 - 34,   43 ,- ,   4 ,   5 ,   2 ,- ,- ,   3 ,- ,- 
,,35 - 44,   121 ,- ,   11 ,   18 ,   5 ,- ,- ,   9 ,- ,   1 
,,45 - 54,   247 ,- ,   22 ,   40 ,   10 ,   12 ,- ,   11 ,- ,- 
,,55 - 64,   341 ,   1 ,   32 ,   31 ,   14 ,   14 ,- ,   27 ,- ,- 
,,>= 65,   564 ,   3 ,   43 ,   70 ,   28 ,   30 ,- ,   45 ,- ,- 
,,Ponta do Sol,,,,,,,,,,
,,Total,  1 251 ,   7 ,   379 ,   54 ,   11 ,   488 ,- ,   23 ,- ,   2 
,,15 - 24,   3 ,- ,- ,- ,- ,   2 ,- ,- ,- ,- 
,,25 - 34,   59 ,- ,   21 ,   9 ,- ,   20 ,- ,- ,- ,- 
,,35 - 44,   124 ,   1 ,   44 ,   10 ,   1 ,   40 ,- ,   2 ,- ,- 
,,45 - 54,   194 ,   2 ,   59 ,   8 ,   1 ,   74 ,- ,   2 ,- ,- 
,,55 - 64,   299 ,   1 ,   89 ,   8 ,   4 ,   114 ,- ,   8 ,- ,   1 
,,>= 65,   572 ,   3 ,   166 ,   19 ,   5 ,   238 ,- ,   11 ,- ,   1 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma da Madeira",,,,,,,,,,,,
