Mão-de-obra agrícola não familiar permanente segundo o tempo de actividade ( Ilha de Porto Santo),,,,,,,
,25 - < 50%,- ,- ,   1 ,   4 ,   2 ,- 
,50 - < 75%,- ,   1 ,   2 ,- ,- ,- 
,75 - < 100%,- ,   1 ,   3 ,   1 ,- ,- 
Tempo completo,,- ,   1 ,   7 ,   3 ,- ,   1 
Mulher,,   1 ,- ,   3 ,   12 ,   5 ,   1 
Tempo parcial,,   1 ,- ,   2 ,   11 ,   5 ,   1 
,> 0 - < 25%,- ,- ,   2 ,   6 ,   1 ,- 
,25 - < 50%,- ,- ,- ,   2 ,- ,- 
,50 - < 75%,- ,- ,- ,   1 ,   3 ,- 
,75 - < 100%,   1 ,- ,- ,   2 ,   1 ,   1 
Tempo completo,,- ,- ,   1 ,   1 ,- ,- 
Tempo de actividade agrícola dos outros trabalhadores permanentes,,   23 ,   150 ,   138 ,   146 ,   22 ,   68 
Tempo parcial,,   2 ,   146 ,   19 ,   111 ,   18 ,   15 
,> 0 - < 25%,- ,   108 ,   3 ,   1 ,   2 ,- 
,25 - < 50%,   2 ,   30 ,   4 ,   26 ,   13 ,- 
,50 - < 75%,- ,   5 ,   4 ,   16 ,   3 ,   12 
,75 - < 100%,- ,   3 ,   8 ,   68 ,- ,   3 
Tempo completo,,   21 ,   4 ,   119 ,   35 ,   4 ,   53 
Homem,,   10 ,   128 ,   91 ,   99 ,   8 ,   64 
Tempo parcial,,   1 ,   126 ,   14 ,   73 ,   6 ,   14 
,> 0 - < 25%,- ,   95 ,   3 ,   1 ,- ,- 
,25 - < 50%,   1 ,   25 ,   3 ,   19 ,   5 ,- 
,50 - < 75%,- ,   4 ,   3 ,   8 ,   1 ,   11 
,75 - < 100%,- ,   2 ,   5 ,   45 ,- ,   3 
Tempo completo,,   9 ,   2 ,   77 ,   26 ,   2 ,   50 
Mulher,,   13 ,   22 ,   47 ,   47 ,   14 ,   4 
Tempo parcial,,   1 ,   20 ,   5 ,   38 ,   12 ,   1 
,> 0 - < 25%,- ,   13 ,- ,- ,   2 ,- 
,25 - < 50%,   1 ,   5 ,   1 ,   7 ,   8 ,- 
,50 - < 75%,- ,   1 ,   1 ,   8 ,   2 ,   1 
,75 - < 100%,- ,   1 ,   3 ,   23 ,- ,- 
Tempo completo,,   12 ,   2 ,   42 ,   9 ,   2 ,   3 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma da Madeira",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
