Produtor singular segundo a OTE e as classes de idade (Não classificados - Ilha de Porto Santo),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,55 - 64,   1 ,   2 ,   2 ,   106 ,   2 ,   2 ,   14 ,   6 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,>= 65,   1 ,   2 ,   1 ,   136 ,   3 ,   2 ,   11 ,   15 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Santana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,- ,   3 ,- ,   803 ,   23 ,   2 ,   42 ,   43 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15 - 24,- ,- ,- ,   3 ,- ,- ,- ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25 - 34,- ,   1 ,- ,   31 ,   1 ,   1 ,- ,   2 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35 - 44,- ,- ,- ,   120 ,   8 ,- ,   8 ,   15 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45 - 54,- ,   1 ,- ,   163 ,   5 ,   1 ,   5 ,   6 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,55 - 64,- ,   1 ,- ,   181 ,   5 ,- ,   10 ,   7 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,>= 65,- ,- ,- ,   305 ,   4 ,- ,   19 ,   13 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,São Vicente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,- ,   3 ,   1 ,   579 ,   4 ,   2 ,   6 ,   9 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15 - 24,- ,- ,- ,   2 ,- ,- ,- ,   1 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25 - 34,- ,- ,- ,   21 ,- ,- ,- ,   1 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35 - 44,- ,- ,- ,   73 ,   1 ,   1 ,   2 ,   1 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45 - 54,- ,- ,   1 ,   120 ,   1 ,- ,   1 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,55 - 64,- ,   1 ,- ,   129 ,   2 ,- ,   1 ,   3 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,>= 65,- ,   2 ,- ,   234 ,- ,   1 ,   2 ,   3 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ilha de Porto Santo ( Porto Santo ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,- ,   5 ,   1 ,   8 ,- ,   1 ,   2 ,   3 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25 - 34,- ,   1 ,- ,- ,- ,- ,- ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35 - 44,- ,   2 ,   1 ,   1 ,- ,   1 ,- ,   1 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45 - 54,- ,- ,- ,   2 ,- ,- ,   1 ,   1 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,55 - 64,- ,   1 ,- ,   1 ,- ,- ,   1 ,   1 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,>= 65,- ,   1 ,- ,   4 ,- ,- ,- ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma da Madeira",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
