Principais características do produtor singular (Homem),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Pág 2/3
,Principal,,  3 318 ,  3 251 ,   252 ,   448 ,   327 ,   434 ,   229 ,   71 ,   354 ,   326 ,   508 ,   302 ,   67 
,,Sector primário,   723 ,   715 ,   34 ,   91 ,   56 ,   154 ,   71 ,   2 ,   55 ,   58 ,   155 ,   39 ,   8 
,,Sector secundário,  1 099 ,  1 090 ,   94 ,   177 ,   99 ,   153 ,   76 ,   22 ,   126 ,   86 ,   136 ,   121 ,   9 
,,Sector terciário,  1 496 ,  1 446 ,   124 ,   180 ,   172 ,   127 ,   82 ,   47 ,   173 ,   182 ,   217 ,   142 ,   50 
,Secundária,,   115 ,   115 ,   2 ,   28 ,   5 ,   22 ,   5 ,- ,   10 ,   15 ,   26 ,   2 ,- 
,,Sector primário,   56 ,   56 ,   1 ,   24 ,   2 ,   2 ,   4 ,- ,   6 ,   2 ,   15 ,- ,- 
,,Sector secundário,   26 ,   26 ,   1 ,   2 ,- ,   12 ,- ,- ,   3 ,   3 ,   5 ,- ,- 
,,Sector terciário,   33 ,   33 ,- ,   2 ,   3 ,   8 ,   1 ,- ,   1 ,   10 ,   6 ,   2 ,- 
Situação na profissão exterior à exploração,,,,,,,,,,,,,,,
,Patrão/empregador,,   311 ,   308 ,   32 ,   42 ,   74 ,   18 ,   31 ,   6 ,   26 ,   18 ,   29 ,   32 ,   3 
,Trabalhador por conta própria,,   697 ,   693 ,   33 ,   96 ,   41 ,   150 ,   42 ,   11 ,   59 ,   96 ,   104 ,   61 ,   4 
,Trabalhador por conta de outrem,,  2 404 ,  2 344 ,   186 ,   336 ,   215 ,   288 ,   159 ,   54 ,   279 ,   223 ,   398 ,   206 ,   60 
,Trabalhador familiar remunerado,,   1 ,   1 ,- ,- ,   1 ,- ,- ,- ,- ,- ,- ,- ,- 
,Outra situação,,   20 ,   20 ,   3 ,   2 ,   1 ,- ,   2 ,- ,- ,   4 ,   3 ,   5 ,- 
Produtor singular dirigente,,,  8 041 ,  7 925 ,   859 ,  1 032 ,   810 ,   769 ,   661 ,   251 ,   773 ,   767 ,  1 213 ,   790 ,   116 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma da Madeira",,,,,,,,,,,,,,,
