Principais características do produtor singular (Homem / Mulher),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Pág 1/3
,Longa e curta duração,,   50 ,   50 ,- ,   18 ,   2 ,   1 ,   4 ,- ,   2 ,   6 ,   17 ,- ,- 
,Completa,,   11 ,   11 ,   1 ,- ,- ,- ,   1 ,   1 ,- ,   1 ,   5 ,   2 ,- 
Tempo de actividade agrícola ,,,,,,,,,,,,,,,
,Tempo parcial,,  13 495 ,  13 367 ,  1 749 ,  1 620 ,  1 188 ,  1 320 ,  1 166 ,   541 ,  1 649 ,   883 ,  1 858 ,  1 393 ,   128 
,,> 0 - < 25%,  5 600 ,  5 582 ,   641 ,   925 ,   762 ,   606 ,   385 ,   111 ,   446 ,   412 ,   609 ,   685 ,   18 
,,25 - < 50%,  3 681 ,  3 649 ,   497 ,   397 ,   196 ,   406 ,   265 ,   129 ,   629 ,   242 ,   507 ,   381 ,   32 
,,50 - < 75%,  2 514 ,  2 459 ,   425 ,   172 ,   112 ,   125 ,   228 ,   245 ,   373 ,   122 ,   383 ,   274 ,   55 
,,75 - < 100%,  1 700 ,  1 677 ,   186 ,   126 ,   118 ,   183 ,   288 ,   56 ,   201 ,   107 ,   359 ,   53 ,   23 
,Tempo completo,,   789 ,   783 ,   82 ,   116 ,   46 ,- ,   85 ,   40 ,   41 ,   202 ,   159 ,   12 ,   6 
Actividades remuneradas exterior à exploração,,,,,,,,,,,,,,,
,Principal,,  4 499 ,  4 427 ,   349 ,   549 ,   399 ,   572 ,   308 ,   99 ,   723 ,   383 ,   612 ,   433 ,   72 
,,Sector primário,   970 ,   962 ,   44 ,   94 ,   58 ,   237 ,   90 ,   3 ,   72 ,   71 ,   186 ,   107 ,   8 
,,Sector secundário,  1 533 ,  1 524 ,   103 ,   232 ,   114 ,   166 ,   94 ,   24 ,   428 ,   91 ,   144 ,   128 ,   9 
,,Sector terciário,  1 996 ,  1 941 ,   202 ,   223 ,   227 ,   169 ,   124 ,   72 ,   223 ,   221 ,   282 ,   198 ,   55 
,Secundária,,   222 ,   222 ,   5 ,   33 ,   5 ,   22 ,   8 ,- ,   96 ,   20 ,   29 ,   4 ,- 
,,Sector primário,   58 ,   58 ,   1 ,   24 ,   2 ,   2 ,   4 ,- ,   6 ,   3 ,   15 ,   1 ,- 
,,Sector secundário,   124 ,   124 ,   1 ,   7 ,- ,   12 ,   2 ,- ,   89 ,   5 ,   7 ,   1 ,- 
,,Sector terciário,   40 ,   40 ,   3 ,   2 ,   3 ,   8 ,   2 ,- ,   1 ,   12 ,   7 ,   2 ,- 
Situação na profissão exterior à exploração,,,,,,,,,,,,,,,
,Patrão/empregador,,   345 ,   341 ,   35 ,   44 ,   82 ,   21 ,   35 ,   8 ,   33 ,   18 ,   32 ,   33 ,   4 
,Trabalhador por conta própria,,   872 ,   868 ,   46 ,   106 ,   41 ,   228 ,   50 ,   13 ,   76 ,   115 ,   129 ,   64 ,   4 
,Trabalhador por conta de outrem,,  3 453 ,  3 389 ,   264 ,   415 ,   276 ,   345 ,   227 ,   78 ,   710 ,   266 ,   477 ,   331 ,   64 
,Trabalhador familiar remunerado,,   1 ,   1 ,- ,- ,   1 ,- ,- ,- ,- ,- ,- ,- ,- 
,Outra situação,,   50 ,   50 ,   9 ,   17 ,   4 ,- ,   4 ,- ,- ,   4 ,   3 ,   9 ,- 
Produtor singular dirigente,,,  13 603 ,  13 469 ,  1 672 ,  1 606 ,  1 172 ,  1 286 ,  1 161 ,   580 ,  1 669 ,  1 053 ,  1 888 ,  1 382 ,   134 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma da Madeira",,,,,,,,,,,,,,,
