Produtor singular segundo a OTE e as classes de idade (Bovinos para gado/carne - Ilha de Porto Santo),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,  1 690 ,- ,   137 ,   145 ,   70 ,   292 ,- ,   104 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15 - 24,   10 ,- ,   2 ,   2 ,   1 ,   2 ,- ,- ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25 - 34,   101 ,- ,   7 ,   11 ,   8 ,   15 ,- ,   1 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35 - 44,   198 ,- ,   16 ,   16 ,   6 ,   16 ,- ,   7 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45 - 54,   359 ,- ,   28 ,   37 ,   10 ,   57 ,- ,   25 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,55 - 64,   416 ,- ,   34 ,   34 ,   12 ,   66 ,- ,   28 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,>= 65,   606 ,- ,   50 ,   45 ,   33 ,   136 ,- ,   43 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Santa Cruz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,  1 085 ,- ,   191 ,   248 ,   12 ,   172 ,- ,   24 ,   2 ,   2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15 - 24,   3 ,- ,- ,- ,- ,   1 ,- ,- ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25 - 34,   32 ,- ,   6 ,   9 ,- ,   3 ,- ,- ,   1 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35 - 44,   88 ,- ,   8 ,   28 ,   1 ,   9 ,- ,   2 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45 - 54,   198 ,- ,   46 ,   46 ,   3 ,   28 ,- ,   2 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,55 - 64,   308 ,- ,   55 ,   68 ,   2 ,   40 ,- ,   6 ,   1 ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,>= 65,   456 ,- ,   76 ,   97 ,   6 ,   91 ,- ,   14 ,- ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Santana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,  2 017 ,   1 ,   334 ,   147 ,   305 ,   123 ,- ,   188 ,   3 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15 - 24,   10 ,- ,   3 ,   2 ,   1 ,   1 ,- ,- ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25 - 34,   96 ,- ,   21 ,   17 ,   9 ,   6 ,- ,   7 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35 - 44,   314 ,   1 ,   58 ,   31 ,   37 ,   16 ,- ,   20 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45 - 54,   367 ,- ,   42 ,   27 ,   51 ,   30 ,- ,   33 ,   3 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,55 - 64,   473 ,- ,   68 ,   35 ,   83 ,   29 ,- ,   54 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,>= 65,   757 ,- ,   142 ,   35 ,   124 ,   41 ,- ,   74 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,São Vicente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,  1 405 ,- ,   160 ,   27 ,   434 ,   40 ,- ,   140 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15 - 24,   9 ,- ,   2 ,- ,   2 ,   1 ,- ,   1 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25 - 34,   51 ,- ,   11 ,   2 ,   14 ,   2 ,- ,- ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35 - 44,   164 ,- ,   19 ,   6 ,   41 ,   6 ,- ,   14 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45 - 54,   270 ,- ,   35 ,   4 ,   75 ,   6 ,- ,   27 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,55 - 64,   299 ,- ,   34 ,   4 ,   80 ,   7 ,- ,   38 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,>= 65,   612 ,- ,   59 ,   11 ,   222 ,   18 ,- ,   60 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ilha de Porto Santo ( Porto Santo ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,   134 ,   3 ,   2 ,   1 ,   103 ,- ,- ,- ,   1 ,   4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25 - 34,   3 ,- ,- ,- ,   2 ,- ,- ,- ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35 - 44,   20 ,- ,   1 ,- ,   13 ,- ,- ,- ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45 - 54,   34 ,   1 ,   1 ,- ,   26 ,- ,- ,- ,   1 ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,55 - 64,   35 ,   1 ,- ,   1 ,   28 ,- ,- ,- ,- ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,>= 65,   42 ,   1 ,- ,- ,   34 ,- ,- ,- ,- ,   2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma da Madeira",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
