Produtor singular segundo a OTE e as classes de idade (Não classificados - Ilha da Madeira - Ponta do Sol),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Funchal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,- ,   8 ,   14 ,   96 ,   3 ,   9 ,   5 ,   33 ,   11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25 - 34,- ,- ,- ,   1 ,- ,- ,- ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35 - 44,- ,- ,- ,   6 ,   1 ,- ,- ,- ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45 - 54,- ,   1 ,   5 ,   13 ,- ,   5 ,- ,   8 ,   3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,55 - 64,- ,   2 ,   3 ,   28 ,   2 ,   1 ,   1 ,   10 ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,>= 65,- ,   5 ,   6 ,   48 ,- ,   3 ,   4 ,   15 ,   6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Machico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,- ,- ,   1 ,   803 ,   3 ,   1 ,   4 ,   15 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15 - 24,- ,- ,- ,   2 ,- ,- ,- ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25 - 34,- ,- ,- ,   29 ,- ,- ,- ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35 - 44,- ,- ,- ,   73 ,- ,   1 ,- ,   3 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45 - 54,- ,- ,   1 ,   148 ,- ,- ,   1 ,   2 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,55 - 64,- ,- ,- ,   215 ,   1 ,- ,   1 ,   5 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,>= 65,- ,- ,- ,   336 ,   2 ,- ,   2 ,   5 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ponta do Sol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,- ,   5 ,   18 ,   244 ,   2 ,   1 ,   4 ,   13 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15 - 24,- ,- ,- ,   1 ,- ,- ,- ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25 - 34,- ,   1 ,   1 ,   6 ,- ,- ,- ,   1 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35 - 44,- ,- ,   1 ,   23 ,- ,- ,- ,   2 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45 - 54,- ,   1 ,   3 ,   38 ,   1 ,- ,   2 ,   3 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,55 - 64,- ,   2 ,   7 ,   63 ,   1 ,- ,- ,   1 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,>= 65,- ,   1 ,   6 ,   113 ,- ,   1 ,   2 ,   6 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma da Madeira",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
