Actividade remunerada exterior à exploração da população agrícola familiar (Ilha de Porto Santo),,,,,,,
Produtor Singular,,   581 ,  1 690 ,  1 085 ,  2 017 ,  1 405 ,   134 
,Actividade exterior - principal,   99 ,   723 ,   383 ,   612 ,   433 ,   72 
,"Agricultura, produção animal, caça e actividades dos seviços relacionados",   1 ,   68 ,   62 ,   152 ,   103 ,   3 
,"Sivicultura, exploração  florestal e actividades dos seviços relacionados",   2 ,   4 ,   5 ,   11 ,   4 ,   5 
,"Pesca, aquacultura e actividades dos seviços relacionados",- ,- ,   4 ,   23 ,- ,- 
,Indústrias alimentares das bebidas e do tabaco,   9 ,   8 ,   5 ,   4 ,   20 ,- 
,Outras indústrias,   3 ,   314 ,   45 ,   15 ,   28 ,- 
,"Produção e distribuição de  electricidade, gás e água",   3 ,   12 ,   9 ,   19 ,   15 ,- 
,Construção,   9 ,   94 ,   32 ,   106 ,   65 ,   9 
,Comércio por grosso e retalho,   7 ,   68 ,   22 ,   58 ,   41 ,   6 
,Alojamento e restauração,   2 ,   5 ,   16 ,   26 ,   25 ,   4 
,Administração pública,   37 ,   28 ,   51 ,   52 ,   71 ,   5 
,Educação,   2 ,   18 ,   9 ,   2 ,   7 ,   3 
,Saúde e acção social,   5 ,   11 ,   1 ,   15 ,   5 ,- 
,Outras,   19 ,   93 ,   122 ,   129 ,   49 ,   37 
,Actividade exterior - secundária,- ,   96 ,   20 ,   29 ,   4 ,- 
,"Agricultura, produção animal, caça e actividades dos seviços relacionados",- ,   6 ,   3 ,   14 ,- ,- 
,"Sivicultura, exploração  florestal e actividades dos seviços relacionados",- ,- ,- ,- ,- ,- 
,"Pesca, aquacultura e actividades dos seviços relacionados",- ,- ,- ,   1 ,   1 ,- 
,Indústrias alimentares das bebidas e do tabaco,- ,   1 ,- ,- ,- ,- 
,Outras indústrias,- ,   88 ,   3 ,   4 ,   1 ,- 
,"Produção e distribuição de  electricidade, gás e água",- ,- ,- ,- ,- ,- 
,Construção,- ,- ,   2 ,   3 ,- ,- 
,Comércio por grosso e retalho,- ,   1 ,   9 ,   6 ,   1 ,- 
,Alojamento e restauração,- ,- ,- ,- ,- ,- 
,Administração pública,- ,- ,- ,- ,   1 ,- 
,Educação,- ,- ,- ,- ,- ,- 
,Saúde e acção social,- ,- ,- ,- ,- ,- 
,Outras,- ,- ,   3 ,   1 ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma da Madeira",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
