Principais características da população familiar (Homem / Mulher),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Pág. 1/3
,Longa e curta duração,,   94 ,   94 ,   1 ,   28 ,   6 ,   2 ,   7 ,   1 ,   3 ,   15 ,   29 ,   2 ,- 
,Completa,,   29 ,   29 ,   1 ,   3 ,   3 ,   1 ,   3 ,   2 ,- ,   3 ,   11 ,   2 ,- 
Tempo de actividade agrícola ,,,,,,,,,,,,,,,
,Sem actividade,,  12 257 ,  11 941 ,  1 226 ,  1 522 ,  1 473 ,  1 218 ,  1 073 ,   529 ,  1 681 ,   967 ,  1 359 ,   893 ,   316 
,Tempo parcial,,  31 046 ,  30 897 ,  3 914 ,  4 138 ,  2 055 ,  3 015 ,  2 785 ,  1 163 ,  3 991 ,  2 699 ,  4 279 ,  2 858 ,   149 
,,> 0 - < 25%,  16 446 ,  16 418 ,  1 864 ,  2 882 ,  1 430 ,  1 704 ,  1 190 ,   380 ,  1 833 ,  1 589 ,  1 929 ,  1 617 ,   28 
,,25 - < 50%,  7 409 ,  7 372 ,   999 ,   794 ,   321 ,   744 ,   621 ,   247 ,  1 353 ,   619 ,  1 041 ,   633 ,   37 
,,50 - < 75%,  4 334 ,  4 274 ,   703 ,   291 ,   156 ,   207 ,   477 ,   435 ,   551 ,   288 ,   660 ,   506 ,   60 
,,75 - < 100%,  2 857 ,  2 833 ,   348 ,   171 ,   148 ,   360 ,   497 ,   101 ,   254 ,   203 ,   649 ,   102 ,   24 
,Tempo completo,,  1 153 ,  1 146 ,   142 ,   151 ,   59 ,- ,   122 ,   55 ,   48 ,   301 ,   256 ,   12 ,   7 
Actividades remuneradas exterior à exploração,,,,,,,,,,,,,,,
,Principal,,  14 054 ,  13 887 ,  1 137 ,  2 090 ,  1 410 ,  1 566 ,  1 047 ,   359 ,  2 287 ,  1 535 ,  1 463 ,   993 ,   167 
,,Sector primário,  1 759 ,  1 749 ,   91 ,   211 ,   101 ,   348 ,   178 ,   4 ,   168 ,   160 ,   297 ,   191 ,   10 
,,Sector secundário,  5 042 ,  5 008 ,   417 ,   927 ,   309 ,   547 ,   370 ,   115 ,  1 302 ,   353 ,   352 ,   316 ,   34 
,,Sector terciário,  7 253 ,  7 130 ,   629 ,   952 ,  1 000 ,   671 ,   499 ,   240 ,   817 ,  1 022 ,   814 ,   486 ,   123 
,Secundária,,   359 ,   359 ,   5 ,   50 ,   7 ,   34 ,   14 ,   1 ,   164 ,   39 ,   40 ,   5 ,- 
,,Sector primário,   78 ,   78 ,   1 ,   30 ,   3 ,   2 ,   4 ,- ,   8 ,   8 ,   21 ,   1 ,- 
,,Sector secundário,   220 ,   220 ,   1 ,   18 ,   1 ,   18 ,   5 ,   1 ,   154 ,   10 ,   10 ,   2 ,- 
,,Sector terciário,   61 ,   61 ,   3 ,   2 ,   3 ,   14 ,   5 ,- ,   2 ,   21 ,   9 ,   2 ,- 
Situação na profissão exterior à exploração,,,,,,,,,,,,,,,
,Patrão/empregador,,   584 ,   577 ,   51 ,   73 ,   124 ,   36 ,   72 ,   15 ,   65 ,   48 ,   49 ,   44 ,   7 
,Trabalhador por conta própria,,  1 453 ,  1 448 ,   86 ,   192 ,   93 ,   306 ,   87 ,   23 ,   142 ,   207 ,   216 ,   96 ,   5 
,Trabalhador por conta de outrem,,  12 173 ,  12 018 ,   991 ,  1 782 ,  1 177 ,  1 246 ,   886 ,   319 ,  2 238 ,  1 309 ,  1 229 ,   841 ,   155 
,Trabalhador familiar remunerado,,   46 ,   46 ,   1 ,   14 ,   14 ,   2 ,   3 ,- ,   6 ,   1 ,   3 ,   2 ,- 
,Outra situação,,   157 ,   157 ,   13 ,   79 ,   9 ,   10 ,   13 ,   3 ,- ,   9 ,   6 ,   15 ,- 
Dirigente na população familiar,,,  14 133 ,  13 999 ,  1 788 ,  1 667 ,  1 230 ,  1 320 ,  1 239 ,   581 ,  1 689 ,  1 085 ,  2 000 ,  1 400 ,   134 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma da Madeira",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
