Mão-de-obra agrícola não familiar permanente segundo o tempo de actividade (Ilha do Corvo),,,,,,,,,
,,50 - < 75%,- ,- ,   1 ,- ,- ,- ,- 
,,75 - < 100%,   1 ,   1 ,- ,- ,- ,- ,- 
,Tempo completo,,   1 ,- ,   1 ,- ,- ,- ,- 
Homem,,,   5 ,   1 ,   5 ,   3 ,   2 ,   1 ,   1 
,Tempo parcial,,   4 ,   1 ,   4 ,   3 ,   2 ,   1 ,   1 
,,> 0 - < 25%,   3 ,- ,   1 ,   2 ,   1 ,   1 ,   1 
,,25 - < 50%,- ,- ,   2 ,   1 ,   1 ,- ,- 
,,50 - < 75%,- ,- ,   1 ,- ,- ,- ,- 
,,75 - < 100%,   1 ,   1 ,- ,- ,- ,- ,- 
,Tempo completo,,   1 ,- ,   1 ,- ,- ,- ,- 
Mulher,,,- ,- ,- ,- ,- ,- ,- 
,Tempo parcial,,- ,- ,- ,- ,- ,- ,- 
,,> 0 - < 25%,- ,- ,- ,- ,- ,- ,- 
,,25 - < 50%,- ,- ,- ,- ,- ,- ,- 
,,50 - < 75%,- ,- ,- ,- ,- ,- ,- 
,,75 - < 100%,- ,- ,- ,- ,- ,- ,- 
,Tempo completo,,- ,- ,- ,- ,- ,- ,- 
Tempo de actividade agrícola dos outros trabalhadores permanentes,,,   36 ,   21 ,   41 ,   27 ,   14 ,   13 ,- 
,Tempo parcial,,   18 ,   3 ,   2 ,- ,- ,- ,- 
,,> 0 - < 25%,   8 ,- ,- ,- ,- ,- ,- 
,,25 - < 50%,   7 ,- ,- ,- ,- ,- ,- 
,,50 - < 75%,   3 ,   1 ,- ,- ,- ,- ,- 
,,75 - < 100%,- ,   2 ,   2 ,- ,- ,- ,- 
,Tempo completo,,   18 ,   18 ,   39 ,   27 ,   14 ,   13 ,- 
Homem,,,   35 ,   21 ,   40 ,   25 ,   12 ,   13 ,- 
,Tempo parcial,,   17 ,   3 ,   2 ,- ,- ,- ,- 
,,> 0 - < 25%,   8 ,- ,- ,- ,- ,- ,- 
,,25 - < 50%,   6 ,- ,- ,- ,- ,- ,- 
,,50 - < 75%,   3 ,   1 ,- ,- ,- ,- ,- 
,,75 - < 100%,- ,   2 ,   2 ,- ,- ,- ,- 
,Tempo completo,,   18 ,   18 ,   38 ,   25 ,   12 ,   13 ,- 
Mulher,,,   1 ,- ,   1 ,   2 ,   2 ,- ,- 
,Tempo parcial,,   1 ,- ,- ,- ,- ,- ,- 
,,> 0 - < 25%,- ,- ,- ,- ,- ,- ,- 
,,25 - < 50%,   1 ,- ,- ,- ,- ,- ,- 
,,50 - < 75%,- ,- ,- ,- ,- ,- ,- 
,,75 - < 100%,- ,- ,- ,- ,- ,- ,- 
,Tempo completo,,- ,- ,   1 ,   2 ,   2 ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
