Principais características da população familiar (Mulheres - Ilha do Corvo),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Pág. 6/6
,Principal,,  1 513 ,   995 ,   518 ,   168 ,   328 ,   172 ,   156 ,   848 ,   286 ,   399 ,   163 ,   481 ,   133 ,   70 ,   63 ,   19 
Sector primário,,,   20 ,   11 ,   9 ,   7 ,   34 ,   21 ,   13 ,   34 ,   2 ,   32 ,- ,   10 ,   8 ,   7 ,   1 ,- 
Sector secundário,,,   80 ,   46 ,   34 ,   8 ,   42 ,   26 ,   16 ,   105 ,   28 ,   65 ,   12 ,   55 ,   8 ,   3 ,   5 ,- 
Sector terciário,,,  1 413 ,   938 ,   475 ,   153 ,   252 ,   125 ,   127 ,   709 ,   256 ,   302 ,   151 ,   416 ,   117 ,   60 ,   57 ,   19 
,Secundária,,   22 ,   3 ,   19 ,   1 ,   5 ,   2 ,   3 ,   20 ,   9 ,   3 ,   8 ,- ,   11 ,   10 ,   1 ,- 
Sector primário,,,- ,- ,- ,   1 ,   1 ,   1 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Sector secundário,,,   5 ,- ,   5 ,- ,   3 ,   1 ,   2 ,   7 ,   5 ,   1 ,   1 ,- ,   1 ,   1 ,- ,- 
Sector terciário,,,   17 ,   3 ,   14 ,- ,   1 ,- ,   1 ,   13 ,   4 ,   2 ,   7 ,- ,   10 ,   9 ,   1 ,- 
Situação na profissão exterior à exploração,,,,,,,,,,,,,,,,,,
,,Patrão/empregador,   73 ,   52 ,   21 ,   13 ,   14 ,   5 ,   9 ,   37 ,   20 ,   10 ,   7 ,   21 ,   9 ,   6 ,   3 ,   3 
,,Trabalhador por conta própria,   112 ,   47 ,   65 ,   15 ,   21 ,   10 ,   11 ,   82 ,   22 ,   37 ,   23 ,   21 ,   18 ,   11 ,   7 ,   3 
,,Trabalhador por conta de outrem,  1 302 ,   878 ,   424 ,   138 ,   291 ,   154 ,   137 ,   745 ,   253 ,   355 ,   137 ,   432 ,   116 ,   62 ,   54 ,   13 
,,Trabalhador familiar remunerado,   4 ,   2 ,   2 ,   1 ,   5 ,   5 ,- ,- ,- ,- ,- ,   7 ,- ,- ,- ,- 
,,Outra situação,   44 ,   19 ,   25 ,   2 ,   2 ,- ,   2 ,   4 ,- ,- ,   4 ,- ,   1 ,   1 ,- ,- 
Dirigente na população familiar,,,   307 ,   173 ,   134 ,   107 ,   117 ,   67 ,   50 ,   414 ,   138 ,   150 ,   126 ,   169 ,   193 ,   89 ,   104 ,   4 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
